NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
247,225.831,-29.84,225.8367,-54.84,225.8469,-30.16,0.1605,25,152.48
248,225.9819,-28.13,225.9972,-45.78,226.005,-23.91,4.4529,17.66,185.86
249,230.442,-18.39,230.4501,-41.88,230.4609,-19.53,1.3194,23.49,206.92
250,231.7656,-25.78,231.7695,-48.13,231.7779,-25.63,0.4206,22.34,133.27
251,232.1805,-27.5,232.1901,-47.81,232.1994,-27.5,5.6367,20.31,175.59
252,237.8205,-28.59,237.8268,-61.09,237.8364,-38.59,7.7181,32.5,309.42
253,245.5371,-22.24,245.5449,-42.34,245.5545,-22.81,0.6231,20.1,150.72
254,246.1635,-35.1,246.168,-51.88,246.1755,-28.44,0,16.77,57.22
255,248.694,-30.62,246.168,-51.88,248.7069,-236.25,3.2943,21.25,4116.56
256,249.4548,-225.36,249.4623,-246.56,249.4722,-224.69,1.9812,21.2,177.67
257,251.4363,-217.66,251.4435,-237.97,251.4564,-220.63,0.1056,20.31,212.63
258,251.5413,-219.11,251.5491,-240.94,251.5581,-223.28,4.2129,21.82,149.67
259,255.7575,-219.74,255.762,-243.59,255.7707,-221.41,0.2745,23.85,203.67
260,256.0203,-230.16,256.0365,-253.28,256.0467,-227.34,11.8017,23.13,220.69
261,267.8337,-219.84,267.8382,-247.03,267.8481,-217.66,0.4197,27.19,163.36
262,268.2522,-214.32,268.2579,-233.59,268.2666,-215.31,0.2124,19.27,139.23
263,268.4667,-225.36,268.4703,-252.5,268.4868,-228.91,0.6141,27.14,274.52
264,269.0793,-231.56,269.0844,-253.75,269.0955,-224.06,3.9891,22.19,75.7
265,273.0684,-218.13,273.0735,-243.12,273.0843,-225.94,0.2478,25,249.75
266,273.3132,-231.09,273.3213,-250.62,273.3339,-230.16,3.3543,19.53,180.75
267,276.6666,-231.88,276.6756,-251.72,276.6834,-226.25,0.6144,19.84,154.36
268,277.2864,-222.66,277.29,-273.28,277.3002,-234.69,0.1452,50.63,417.33
269,277.4292,-231.98,277.4352,-249.69,277.4457,-225.47,1.797,17.71,88.02
270,279.228,-222.34,279.2322,-241.25,279.243,-221.56,3.6657,18.91,142.36
271,282.8952,-222.55,282.8979,-240.47,282.9093,-222.34,4.5993,17.92,102.94
272,287.4918,-221.46,287.4972,-246.72,287.5074,-222.19,0.1155,25.26,158.31
273,287.6067,-228.18,287.6127,-245.62,287.6247,-224.84,4.7517,17.45,89.94
274,292.3599,-214.64,292.3644,-238.75,292.3758,-224.38,0,24.11,294.28
275,292.5411,-218.54,292.3644,-238.75,292.5579,-218.13,2.0226,20.21,149.86
276,294.384,-222.24,294.387,-249.37,294.3963,-220.78,0.0846,27.14,147.8
277,294.462,-223.75,294.4716,-247.03,294.4875,-224.06,0.1527,23.28,263.2
278,294.6189,-221.77,294.6243,-238.12,294.633,-217.66,1.8012,16.35,99.7
279,296.4228,-231.3,296.4255,-252.5,296.4324,-231.09,0.0231,21.2,107.16
280,296.4441,-228.75,296.4486,-250.94,296.4606,-229.22,1.7553,22.19,168.89
281,298.197,-230.47,298.2039,-250.31,298.2132,-227.81,3.1854,19.84,121.69
282,301.3761,-229.17,301.3893,-251.87,301.4013,-229.69,2.3724,22.71,210.3
283,303.7563,-223.07,303.7617,-244.69,303.771,-221.25,2.9739,21.61,124.81
284,306.7308,-222.19,306.7356,-246.56,306.7458,-224.22,0.9345,24.37,204.7
285,307.6668,-220.83,307.6701,-247.66,307.6818,-222.81,2.4669,26.82,191.3
286,310.1328,-225.78,310.137,-251.87,310.1487,-228.44,10.2627,26.09,243.28
287,320.3913,-235.57,320.3997,-249.22,320.4063,-230.47,7.5174,13.65,71.44
288,327.912,-233.7,327.9171,-260.16,327.9294,-236.72,9.8181,26.46,220.3
289,337.7244,-209.11,337.7352,-230.47,337.7412,-211.41,1.3047,21.35,173.02
290,339.0366,-213.49,339.0399,-243.91,339.0531,-216.09,4.1904,30.42,215.64
291,343.2261,-232.34,343.2303,-259.84,343.2393,-238.44,7.1655,27.5,211.45
292,350.3868,-225.63,350.3958,-247.34,350.4111,-226.41,2.6178,21.72,224.95
293,353.0028,-226.67,353.0136,-248.12,353.0328,-227.34,4.2294,21.46,204.97
294,357.2391,-208.59,357.243,-227.81,357.2535,-210.47,3.8364,19.22,144.8
295,361.0764,-216.2,361.0794,-240.62,361.0959,-214.84,2.2869,24.43,179.72
296,363.3612,-212.5,363.3663,-230.47,363.3765,-207.19,1.1661,17.97,98.63
297,364.5291,-212.14,364.5324,-247.81,364.5432,-212.19,0.558,35.68,206.67
298,365.0844,-212.92,365.0904,-240.78,365.1093,-216.25,2.193,27.86,291.52
299,367.2753,-215.94,367.2834,-235,367.2942,-213.75,8.0259,19.06,151.22
300,375.303,-210.94,375.3093,-228.13,375.3186,-207.81,2.5638,17.19,97.22
301,377.8665,-218.28,377.8731,-256.25,377.8839,-220,2.4498,37.97,267.66
302,380.3202,-209.22,380.3229,-239.22,380.3349,-211.56,1.8624,30,236.95
