cell,feature,time,int
cell10_04,nucl,49,1666.367
cell10_04,nucl,50,1664.288
cell10_04,nucl,51,1671.299
cell10_04,nucl,52,1633.855
cell10_04,nucl,53,1653.81
cell10_04,nucl,54,1656.458
cell10_04,nucl,55,1656.387
cell10_04,nucl,56,1636.193
cell10_04,nucl,57,1651.197
cell10_04,nucl,58,1632.383
cell10_04,nucl,59,1633.315
cell10_04,nucl,60,1632.43
cell10_04,nucl,61,1646.861
cell10_04,nucl,62,1626.456
cell10_04,nucl,63,1640.957
cell10_04,nucl,64,1647.143
cell10_04,nucl,65,1598.481
cell10_04,nucl,66,1633.861
cell10_04,nucl,67,1660.421
cell10_04,nucl,68,1615.909
cell10_04,nucl,69,1617.18
cell10_04,nucl,70,1604.215
cell10_04,nucl,71,1612.234
cell10_04,nucl,72,1615.371
cell10_04,nucl,73,1624.881
cell10_04,nucl,74,1629.039
cell10_04,nucl,75,1606.11
cell10_04,nucl,76,1626.914
cell10_04,nucl,77,1623.876
cell10_04,nucl,78,1908.949
cell10_04,nucl,79,1628.456
cell10_04,nucl,80,1625.071
cell10_04,nucl,81,1644.061
cell10_04,nucl,82,1613.982
cell10_04,nucl,83,1618.504
cell10_04,nucl,84,1641.693
cell10_04,nucl,85,1630.884
cell10_04,nucl,86,1630.063
cell10_04,nucl,87,1604.918
cell10_04,nucl,88,1594.446
cell10_04,nucl,89,1585.05
cell10_04,nucl,90,1601.191
cell10_04,nucl,91,1617.339
cell10_04,nucl,92,1607.414
cell10_04,nucl,93,1614.075
cell10_04,nucl,94,1621.855
cell10_04,nucl,95,1628.43
cell10_04,nucl,96,1591.976
cell10_04,nucl,97,1618.926
cell10_04,nucl,98,1606.176
cell10_04,nucl,99,1984.822
cell10_04,nucl,100,1953.172
cell10_04,nucl,101,1642.92
cell10_04,nucl,102,1633.921
cell10_04,nucl,103,1615.917
cell10_04,nucl,104,1611.827
cell10_04,nucl,105,1619.448
cell10_04,nucl,106,1591.69
cell10_04,nucl,107,1883.764
cell10_04,nucl,108,1628.139
cell10_04,nucl,109,1637.873
cell10_04,nucl,110,1597.991
cell10_04,nucl,111,1628.032
cell10_04,nucl,112,1637.159
cell10_04,nucl,113,1584.448
cell10_04,nucl,114,1638.509
cell10_04,nucl,115,1648.669
cell10_04,nucl,116,1606.016
cell10_04,nucl,117,1622.265
cell10_04,nucl,118,1639.456
cell10_04,nucl,119,1624.746
cell10_04,nucl,120,1641.112
cell10_04,nucl,121,1620.04
cell10_04,nucl,122,1921.263
cell10_04,nucl,123,1609.327
cell10_04,nucl,124,1604.843
cell10_04,nucl,125,1611.094
cell10_04,nucl,126,1622.803
cell10_04,nucl,127,1613.734
cell10_04,nucl,128,1606.735
cell10_04,nucl,129,1595.753
cell10_04,nucl,130,1611.09
cell10_04,nucl,131,1613.739
cell10_04,nucl,132,1613.379
cell10_04,nucl,133,1587.541
cell10_04,nucl,134,1925.264
cell10_04,nucl,135,1600.424
cell10_04,nucl,136,1603.433
cell10_04,nucl,137,1622.443
cell10_04,nucl,138,1637.516
cell10_04,nucl,139,1608.532
cell10_04,nucl,140,1597.597
cell10_04,nucl,141,1648.365
cell10_04,nucl,142,1590.16
cell10_04,nucl,143,1589.569
cell10_04,nucl,144,1626.14
cell10_04,nucl,145,1620.024
cell10_04,nucl,146,1623.929
cell10_04,nucl,147,1587.223
cell10_04,nucl,148,1604.768
cell10_04,nucl,149,1611.08
cell10_04,nucl,150,1624.868
cell10_04,nucl,151,1616.991
cell10_04,nucl,152,1617.125
cell10_04,nucl,153,1610.039
cell10_04,nucl,154,1596.427
cell10_04,nucl,155,1604.536
cell10_04,nucl,156,1611.069
cell10_04,nucl,157,1585.199
cell10_04,nucl,158,1615.815
cell10_04,nucl,159,1625.56
cell10_04,nucl,160,1589.195
cell10_04,nucl,161,1619.203
cell10_04,nucl,162,1922.823
cell10_04,nucl,163,1927.904
cell10_04,nucl,164,1601.042
cell10_04,nucl,165,1603.422
cell10_04,nucl,166,1598.182
cell10_04,nucl,167,1578.432
cell10_04,nucl,168,1616.895
cell10_04,nucl,169,1592.494
cell10_04,nucl,170,1616.136
cell10_04,nucl,171,1576.926
cell10_04,nucl,172,1583.512
cell10_04,nucl,173,1883.961
cell10_04,nucl,174,1596.799
cell10_04,nucl,175,1558.734
cell10_04,nucl,176,1590.443
cell10_04,nucl,177,1579.681
cell10_04,nucl,178,1594.034
cell10_04,nucl,179,1603.448
cell10_04,nucl,180,1583.306
cell10_03,nucl,1,1670.567
cell10_03,nucl,2,1640.216
cell10_03,nucl,3,1659.144
cell10_03,nucl,4,1663.85
cell10_03,nucl,5,1689.099
cell10_03,nucl,6,1652.072
cell10_03,nucl,7,1679.337
cell10_03,nucl,8,1639.533
cell10_03,nucl,9,1654.588
cell10_03,nucl,10,1660.331
cell10_03,nucl,11,1697.152
cell10_03,nucl,12,1650.27
cell10_03,nucl,13,1647.597
cell10_03,nucl,14,1671.912
cell10_03,nucl,15,1653.456
cell10_03,nucl,16,1644.129
cell10_03,nucl,17,1668.585
cell10_03,nucl,18,1689.869
cell10_03,nucl,19,1674.085
cell10_03,nucl,20,1660.863
cell10_03,nucl,21,1898.083
cell10_03,nucl,22,1900.446
cell10_03,nucl,23,1901.199
cell10_03,nucl,24,1875.112
cell10_03,nucl,25,1884.9
cell10_03,nucl,26,1833.883
cell10_03,nucl,27,1854.995
cell10_03,nucl,28,1833.409
cell10_03,nucl,29,1828.672
cell10_03,nucl,30,1808.071
cell10_03,nucl,31,1804.768
cell10_03,nucl,32,1797.824
cell10_03,nucl,33,1793.172
cell10_03,nucl,34,1799.908
cell10_03,nucl,35,1786.791
cell10_03,nucl,36,1782.719
cell10_03,nucl,37,1760.127
cell10_03,nucl,38,1778.03
cell10_03,nucl,39,1779.375
cell10_03,nucl,40,1764.244
cell10_03,nucl,41,1711.888
cell10_03,nucl,42,1742.12
cell10_03,nucl,43,1738.352
cell10_03,nucl,44,1756.61
cell10_03,nucl,45,1741.722
cell10_03,nucl,46,1742.794
cell10_03,nucl,47,1728.471
cell10_03,nucl,48,1720.065
cell10_03,nucl,49,1720.639
cell10_03,nucl,50,1699.223
cell10_03,nucl,51,1713.431
cell10_03,nucl,52,1695.169
cell10_03,nucl,53,1700.995
cell10_03,nucl,54,1702.725
cell10_03,nucl,55,1707.272
cell10_03,nucl,56,1700.494
cell10_03,nucl,57,1719.132
cell10_03,nucl,58,1709.893
cell10_03,nucl,59,1706.814
cell10_03,nucl,60,1691.455
cell10_03,nucl,61,1704.428
cell10_03,nucl,62,1725.023
cell10_03,nucl,63,1704.417
cell10_03,nucl,64,1668.58
cell10_03,nucl,65,1670.475
cell10_03,nucl,66,1695.163
cell10_03,nucl,67,1649.948
cell10_03,nucl,68,1692.736
cell10_03,nucl,69,1679.147
cell10_03,nucl,70,1697.609
cell10_03,nucl,71,1669.576
cell10_03,nucl,72,1686.041
cell10_03,nucl,73,1675.33
cell10_03,nucl,74,1679.089
cell10_03,nucl,75,1655.829
cell10_03,nucl,76,1691.933
cell10_03,nucl,77,1670.219
cell10_03,nucl,78,1722.263
cell10_03,nucl,79,1683.684
cell10_03,nucl,80,1679.617
cell10_03,nucl,81,1677.383
cell10_03,nucl,82,1653.71
cell10_03,nucl,83,1676.513
cell10_03,nucl,84,1683.418
cell10_03,nucl,85,1678.544
cell10_03,nucl,86,1682.413
cell10_03,nucl,87,1658.171
cell10_03,nucl,88,1662.416
cell10_03,nucl,89,1680.176
cell10_03,nucl,90,1686.697
cell10_03,nucl,91,1669.607
cell10_03,nucl,92,1651.596
cell10_03,nucl,93,1672.238
cell10_03,nucl,94,1646.503
cell10_03,nucl,95,1681.778
cell10_03,nucl,96,1665.161
cell10_03,nucl,97,1665.928
cell10_03,nucl,98,1681.657
cell10_03,nucl,99,1651.701
cell10_03,nucl,100,1674.807
cell10_03,nucl,101,1656.338
cell10_03,nucl,102,1683.382
cell10_03,nucl,103,1656.25
cell10_03,nucl,104,1689.996
