"","id","roi","int","index","time","cell_id","app_time"
"111","03.04.2024_(2.4)_ch1","6",0.145149502183122,10,10,"03_04_24_cell2","0.5"
"112","03.04.2024_(2.4)_ch1","6",0.0999513789077157,11,11,"03_04_24_cell2","0.5"
"113","03.04.2024_(2.4)_ch1","6",0.0343846841645423,12,12,"03_04_24_cell2","0.5"
"114","03.04.2024_(2.4)_ch1","6",0.0179259256380532,13,13,"03_04_24_cell2","0.5"
"115","03.04.2024_(2.4)_ch1","6",0.0134975905570368,14,14,"03_04_24_cell2","0.5"
"116","03.04.2024_(2.4)_ch1","6",-0.00393807200583617,15,15,"03_04_24_cell2","0.5"
"117","03.04.2024_(2.4)_ch1","6",-0.0119630560750784,16,16,"03_04_24_cell2","0.5"
"118","03.04.2024_(2.4)_ch1","6",0.00520696791802605,17,17,"03_04_24_cell2","0.5"
"119","03.04.2024_(2.4)_ch1","6",-0.00420783752117773,18,18,"03_04_24_cell2","0.5"
"120","03.04.2024_(2.4)_ch1","6",0.00142703371341889,20,19,"03_04_24_cell2","0.5"
"121","03.04.2024_(2.4)_ch1","7",0.0373532871454765,0,0,"03_04_24_cell2","0.5"
"122","03.04.2024_(2.4)_ch1","7",0.0118101364160824,1,1,"03_04_24_cell2","0.5"
"123","03.04.2024_(2.4)_ch1","7",-0.00640270275351793,2,2,"03_04_24_cell2","0.5"
"124","03.04.2024_(2.4)_ch1","7",-0.0415755264780606,3,3,"03_04_24_cell2","0.5"
"125","03.04.2024_(2.4)_ch1","7",-0.00118519432997989,4,4,"03_04_24_cell2","0.5"
"126","03.04.2024_(2.4)_ch1","7",0.0187685023557168,5,5,"03_04_24_cell2","0.5"
"127","03.04.2024_(2.4)_ch1","7",0.430695138427904,6,6,"03_04_24_cell2","0.5"
"128","03.04.2024_(2.4)_ch1","7",0.51882017173594,7,7,"03_04_24_cell2","0.5"
"129","03.04.2024_(2.4)_ch1","7",0.518297689541017,8,8,"03_04_24_cell2","0.5"
"130","03.04.2024_(2.4)_ch1","7",0.433004899960946,9,9,"03_04_24_cell2","0.5"
"131","03.04.2024_(2.4)_ch1","7",0.286852443690752,10,10,"03_04_24_cell2","0.5"
"132","03.04.2024_(2.4)_ch1","7",0.248596472229256,11,11,"03_04_24_cell2","0.5"
"133","03.04.2024_(2.4)_ch1","7",0.180685797414355,12,12,"03_04_24_cell2","0.5"
"134","03.04.2024_(2.4)_ch1","7",0.191749442237749,13,13,"03_04_24_cell2","0.5"
"135","03.04.2024_(2.4)_ch1","7",0.0915038744045993,14,14,"03_04_24_cell2","0.5"
"136","03.04.2024_(2.4)_ch1","7",0.0582857585591639,15,15,"03_04_24_cell2","0.5"
"137","03.04.2024_(2.4)_ch1","7",0.106324772677011,16,16,"03_04_24_cell2","0.5"
"138","03.04.2024_(2.4)_ch1","7",0.090053134962027,17,17,"03_04_24_cell2","0.5"
"139","03.04.2024_(2.4)_ch1","7",0.0256585557438687,18,18,"03_04_24_cell2","0.5"
"140","03.04.2024_(2.4)_ch1","7",-0.0321798770832463,20,19,"03_04_24_cell2","0.5"
"141","03.04.2024_(2.4)_ch1","8",0.00288415030675984,0,0,"03_04_24_cell2","0.5"
"142","03.04.2024_(2.4)_ch1","8",0.0111483189726205,1,1,"03_04_24_cell2","0.5"
"143","03.04.2024_(2.4)_ch1","8",-0.00739763073622498,2,2,"03_04_24_cell2","0.5"
"144","03.04.2024_(2.4)_ch1","8",0.00230878416863359,3,3,"03_04_24_cell2","0.5"
"145","03.04.2024_(2.4)_ch1","8",-0.0089436227117892,4,4,"03_04_24_cell2","0.5"
"146","03.04.2024_(2.4)_ch1","8",0.0214126337523536,5,5,"03_04_24_cell2","0.5"
"147","03.04.2024_(2.4)_ch1","8",0.248162413060792,6,6,"03_04_24_cell2","0.5"
"148","03.04.2024_(2.4)_ch1","8",0.172973925285731,7,7,"03_04_24_cell2","0.5"
"149","03.04.2024_(2.4)_ch1","8",0.153057088624199,8,8,"03_04_24_cell2","0.5"
"150","03.04.2024_(2.4)_ch1","8",0.134737678095667,9,9,"03_04_24_cell2","0.5"
"151","03.04.2024_(2.4)_ch1","8",0.0708115218537149,10,10,"03_04_24_cell2","0.5"
"152","03.04.2024_(2.4)_ch1","8",0.0701077758518824,11,11,"03_04_24_cell2","0.5"
