ID,power,ch,frame,time,mask,mask_region,mean,delta,rel
cell4_02_2_2022,3,fp,7,12.0,up,1,587.876,0.03473099592039888,0.011444181525087829
cell4_02_2_2022,3,fp,7,12.0,up,2,423.374,0.10643896075114942,0.058441926602043885
cell4_02_2_2022,3,fp,7,12.0,up,3,595.026,-0.05087320634837595,0.02000763919964173
cell4_02_2_2022,3,fp,7,12.0,up,4,548.834,0.021834018858074487,0.09664296676032325
cell4_02_2_2022,3,fp,7,12.0,up,5,466.173,0.01574783590909247,0.04496245919863317
cell4_02_2_2022,3,fp,8,14.0,up,1,525.491,-0.07507395134823273,0.01011942094831598
cell4_02_2_2022,3,fp,8,14.0,up,2,415.014,0.08459106807970615,0.05667020719294436
cell4_02_2_2022,3,fp,8,14.0,up,3,676.628,0.07929025645082932,0.022506131786186642
cell4_02_2_2022,3,fp,8,14.0,up,4,575.063,0.07066788206740278,0.10016960201279386
cell4_02_2_2022,3,fp,8,14.0,up,5,451.942,-0.015260196415435742,0.043119783682381445
cell4_02_2_2022,3,fp,9,16.0,up,1,558.542,-0.016900298832795542,0.010677449522988255
cell4_02_2_2022,3,fp,9,16.0,up,2,440.383,0.15089001415408926,0.05969581044879355
cell4_02_2_2022,3,fp,9,16.0,up,3,686.792,0.09550286687571008,0.022677618872028633
cell4_02_2_2022,3,fp,9,16.0,up,4,573.556,0.0678621086160148,0.09917850100602889
cell4_02_2_2022,3,fp,9,16.0,up,5,477.368,0.040140705129322475,0.04521351397660808
cell4_02_2_2022,3,fp,10,18.0,up,1,686.693,0.2086605538949821,0.013263881651452328
cell4_02_2_2022,3,fp,10,18.0,up,2,466.341,0.21872824357577875,0.06387244194889638
cell4_02_2_2022,3,fp,10,18.0,up,3,703.469,0.12210437258760864,0.023470045561545392
cell4_02_2_2022,3,fp,10,18.0,up,4,595.086,0.10794724624599822,0.10397252370367437
cell4_02_2_2022,3,fp,10,18.0,up,5,499.965,0.0893774774178028,0.04784669699777502
cell4_02_2_2022,3,fp,11,20.0,up,1,621.287,0.09353829083411624,0.011998937491475762
cell4_02_2_2022,3,fp,11,20.0,up,2,450.938,0.17847428534393178,0.061754638933055585
cell4_02_2_2022,3,fp,11,20.0,up,3,756.776,0.2071344418437202,0.025245217178668566
cell4_02_2_2022,3,fp,11,20.0,up,4,625.597,0.16475345313073692,0.10928884767997758
cell4_02_2_2022,3,fp,11,20.0,up,5,546.912,0.1916706468043272,0.052332568953441606
cell4_02_2_2022,3,fp,12,22.0,up,1,650.169,0.14437401235391448,0.012693214957899707
cell4_02_2_2022,3,fp,12,22.0,up,2,441.43,0.15362622750660143,0.06110951457875065
cell4_02_2_2022,3,fp,12,22.0,up,3,713.871,0.1386966171408956,0.02407276358228808
cell4_02_2_2022,3,fp,12,22.0,up,4,591.271,0.10084437582990954,0.10441479240769183
cell4_02_2_2022,3,fp,12,22.0,up,5,500.895,0.09140386137267678,0.04845019232300382
cell4_02_2_2022,3,fp,13,24.0,up,1,625.704,0.10131273103745898,0.012299110871255488
cell4_02_2_2022,3,fp,13,24.0,up,2,425.225,0.11127633507349888,0.0592686647321714
cell4_02_2_2022,3,fp,13,24.0,up,3,663.644,0.0585794601347478,0.02253205286541858
cell4_02_2_2022,3,fp,13,24.0,up,4,600.836,0.11865275211559435,0.10682942037630591
cell4_02_2_2022,3,fp,13,24.0,up,5,493.489,0.07526687258794934,0.048060203029250896
cell4_02_2_2022,3,fp,14,26.0,up,1,691.656,0.21739601840238312,0.013165763031472775
cell4_02_2_2022,3,fp,14,26.0,up,2,405.959,0.06092687332612737,0.05479490727165391
cell4_02_2_2022,3,fp,14,26.0,up,3,627.109,0.0003024312216212184,0.020618630531295618
cell4_02_2_2022,3,fp,14,26.0,up,4,559.105,0.04095684508183496,0.09626748582336939
cell4_02_2_2022,3,fp,14,26.0,up,5,487.581,0.06239388720580392,0.045984004259716375
cell4_02_2_2022,3,fp,15,28.0,up,1,525.575,-0.07492610145530058,0.010063198374525796
cell4_02_2_2022,3,fp,15,28.0,up,2,397.268,0.03821395045441518,0.05393707115995141
cell4_02_2_2022,3,fp,15,28.0,up,3,642.376,0.024654843987919308,0.021244742549848546
cell4_02_2_2022,3,fp,15,28.0,up,4,560.503,0.043559679378477684,0.09707555962551007
cell4_02_2_2022,3,fp,15,28.0,up,5,487.848,0.06297565550252579,0.04627966399044745
cell4_02_2_2022,3,fp,16,30.0,up,1,577.59,0.01662642450731659,0.011139647200917981
cell4_02_2_2022,3,fp,16,30.0,up,2,403.561,0.054659977796687007,0.05519033847716565
cell4_02_2_2022,3,fp,16,30.0,up,3,704.105,0.12311885706519853,0.023455776950749893
cell4_02_2_2022,3,fp,16,30.0,up,4,573.278,0.06734452068005864,0.10001084747536945
cell4_02_2_2022,3,fp,16,30.0,up,5,520.309,0.13370517115754013,0.049718383849024494
cell4_02_2_2022,3,fp,17,32.0,up,1,589.217,0.03709131385399247,0.011292611792703595
cell4_02_2_2022,3,fp,17,32.0,up,2,395.757,0.03426512679095226,0.053783538009702085
cell4_02_2_2022,3,fp,17,32.0,up,3,683.164,0.08971583906958373,0.022615418754817422
cell4_02_2_2022,3,fp,17,32.0,up,4,567.01,0.05567458836864491,0.0982970370484963
cell4_02_2_2022,3,fp,17,32.0,up,5,497.302,0.08357504680293265,0.0472218927458418
cell4_02_2_2022,3,fp,18,34.0,up,1,647.958,0.1404823919578105,0.01227613162522431
cell4_02_2_2022,3,fp,18,34.0,up,2,416.206,0.08770622215439042,0.05591454721520083
cell4_02_2_2022,3,fp,18,34.0,up,3,664.486,0.05992253549658855,0.021745101023595503
cell4_02_2_2022,3,fp,18,34.0,up,4,547.189,0.018771313265816145,0.09377394276276409
cell4_02_2_2022,3,fp,18,34.0,up,5,489.097,0.06569711094299623,0.04591060586275872
cell4_02_2_2022,3,fp,19,36.0,up,1,532.797,-0.06221453089869154,0.010248270662915464
cell4_02_2_2022,3,fp,19,36.0,up,2,420.86,0.09986891264397137,0.05740220757935778
cell4_02_2_2022,3,fp,19,36.0,up,3,717.997,0.1452780054341913,0.023854643387280054
cell4_02_2_2022,3,fp,19,36.0,up,4,573.337,0.06745436847941617,0.09975384602891368
cell4_02_2_2022,3,fp,19,36.0,up,5,504.728,0.09975561373722723,0.04810056936577869
cell4_02_2_2022,3,fp,20,38.0,up,1,607.542,0.06934547204422536,0.011616705523078516
cell4_02_2_2022,3,fp,20,38.0,up,2,404.592,0.05735437700054563,0.05485621616202585
cell4_02_2_2022,3,fp,20,38.0,up,3,630.593,0.005859764429047761,0.020826526050856924
cell4_02_2_2022,3,fp,20,38.0,up,4,572.074,0.06510288084232048,0.09894397665524844
cell4_02_2_2022,3,fp,20,38.0,up,5,473.728,0.032209481908095416,0.04487862529898407
