NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC],
609,198.37680,10.08,198.38940,-25.94,198.40200,10.08,0.39960,36.02,293.59,
610,198.78150,18.51,198.78900,-16.41,198.79980,18.51,0.35700,34.91,195.75,
611,199.13820,13.23,199.14600,-27.97,199.16100,13.23,1.04730,41.20,405.54,
612,200.18370,6.08,200.19330,-34.38,200.20830,6.08,0.10590,40.45,373.15,
613,200.29530,-8.85,200.29920,-41.72,200.31390,-8.85,0.75510,32.87,271.20,
614,201.04110,6.78,201.05430,-32.50,201.06420,6.78,0.09240,39.28,336.44,
615,201.13680,4.36,201.14670,-31.87,201.15720,4.36,0.02370,36.24,156.13,
616,201.16020,4.33,201.17040,-43.91,201.18090,4.33,0.47340,48.24,377.12,
617,201.63090,-1.39,201.64380,-35.47,201.65850,-1.39,0.09930,34.08,328.53,
618,201.73350,3.87,201.74310,-43.75,201.75630,3.87,0.06540,47.62,367.66,
619,201.80370,3.70,201.80850,-35.63,201.81780,3.70,1.05990,39.32,120.54,
620,202.85580,7.89,202.86840,-27.03,202.87710,7.89,0.02070,34.92,168.10,
621,202.87710,13.01,202.88910,-20.47,202.90350,13.01,0.18450,33.48,392.35,
622,203.06100,14.54,203.07360,-21.56,203.08860,14.54,0.50610,36.10,315.85,
623,203.57640,-1.73,203.57970,-41.72,203.59470,-1.73,0.10710,39.99,354.30,
624,203.67630,-1.93,203.68680,-34.22,203.70180,-1.93,0.04500,32.29,400.37,
625,203.71890,3.36,203.73180,-34.69,203.74500,3.36,0.67800,38.05,341.69,
626,204.39630,0.85,204.40980,-34.38,204.41850,0.85,0.31740,35.23,221.97,
627,204.71640,-1.46,204.72720,-37.50,204.73860,-1.46,0.22890,36.04,233.06,
628,204.94200,2.71,204.95610,-40.63,204.97110,2.71,0.03240,43.33,503.72,
629,204.97980,2.54,204.98850,-30.78,204.99990,2.54,0.52680,33.32,133.17,
630,205.50660,-14.29,205.51530,-49.06,205.53030,-14.29,0.23880,34.78,375.91,
631,205.74540,-17.38,205.75410,-53.13,205.76070,-17.38,0.04170,35.74,164.52,
632,205.78200,-35.98,205.79580,-135.78,205.81080,-35.98,0.19320,99.80,1327.06,
633,205.98180,-24.72,205.98900,-69.06,206.00190,-24.72,0.09750,44.34,351.53,
634,206.08170,-12.87,206.08650,-66.88,206.10150,-12.87,0.06000,54.01,425.65,
