NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
397,178.6245,80.17,178.629,48.77,178.6416,80.17,0.2145,31.4,298.54
398,178.8366,78.35,178.8435,58.56,178.8561,78.35,0.8385,19.79,233.61
399,179.6799,75.02,179.682,60.02,179.6946,75.02,0.6219,14.99,141.1
400,180.2964,73.31,180.3039,58.97,180.3138,73.31,0.0267,14.35,83.71
401,180.3249,77.66,180.3306,68.41,180.3426,77.66,0.1269,9.25,62.27
402,180.4512,74.5,180.4575,63.95,180.4701,74.5,0.4773,10.55,59.24
403,180.9282,78.19,180.9348,64.1,180.9474,78.19,0.1665,14.1,120.9
404,181.0935,74.29,181.1013,44.35,181.1139,74.29,1.3797,29.94,261.1
405,182.4747,76.69,182.481,62.84,182.4936,76.69,0.2634,13.85,155.36
406,182.7366,84.09,182.7444,69.64,182.757,84.09,0.537,14.45,187.64
407,183.2727,83.74,183.2814,65.92,183.294,83.74,0.2856,17.82,154.7
408,183.561,80.57,183.567,68.66,183.5796,80.57,0.5685,11.92,79.29
409,184.1304,73.12,184.1355,56.19,184.1478,73.12,1.947,16.94,95.14
410,186.075,67.29,186.0825,54.39,186.0951,67.29,0.2391,12.91,92.06
411,186.3153,79.57,186.3216,63.75,186.3342,79.57,0.0726,15.82,171.11
412,186.3864,79.55,186.3942,63.57,186.4068,79.55,0.3315,15.98,104.25
413,186.7179,76.55,186.7257,53.24,186.7383,76.55,1.0548,23.31,211.15
414,187.7721,84.78,187.7805,70.37,187.7931,84.78,0.1797,14.41,156.52
415,187.9521,80.8,187.9602,68.4,187.9728,80.8,1.4436,12.4,100.31
416,189.3954,79.28,189.4038,66.72,189.4164,79.28,2.7501,12.56,113.61
417,192.1467,82.12,192.1539,46.53,192.1665,82.12,0.0495,35.59,261.81
418,192.1953,84.41,192.2034,68.81,192.216,84.41,0.042,15.61,181.85
419,192.2403,77.03,192.2454,53.27,192.258,77.03,0.3201,23.76,230.22
420,192.5583,80.19,192.5655,62.73,192.5781,80.19,0.3642,17.46,168.21
421,192.9219,80.54,192.9297,67.09,192.9423,80.54,0.585,13.45,97.34
422,193.5063,85.69,193.5147,67.99,193.5273,85.69,0.4065,17.7,217.54
423,193.9158,76.61,193.9212,62.83,193.9338,76.61,0.78,13.79,104.28
424,194.6937,78.61,194.7012,60.84,194.7138,78.61,1.2591,17.78,164.25
425,195.9564,81.04,195.9603,60.9,195.9729,81.04,0.3606,20.14,119.6
426,196.3155,82.91,196.3209,69.26,196.3335,82.91,0.0468,13.65,161.94
427,196.3623,83.66,196.3677,45.27,196.3803,83.66,0.0291,38.39,288.44
428,196.3893,87.83,196.3968,76.42,196.4094,87.83,0.0924,11.42,146.13
429,196.4829,82.45,196.4892,72.64,196.5018,82.45,0.7941,9.81,94.24
430,197.2791,76.46,197.2833,63.61,197.2959,76.46,0.1107,12.86,94.71
431,197.3862,80.16,197.394,68.09,197.4066,80.16,0.2844,12.07,102.91
432,197.6712,81.31,197.6784,69.89,197.691,81.31,0.7905,11.42,93.99
433,198.4617,76.12,198.4689,60.68,198.4815,76.12,0.6789,15.44,140
434,199.1397,82.95,199.1478,67.03,199.1604,82.95,0.3939,15.92,148.29
435,199.5351,84.79,199.5417,54.71,199.5543,84.79,0.3951,30.08,205.34
436,199.9347,82.14,199.9368,68.93,199.9494,82.14,1.0563,13.21,89.23
437,200.9868,80.04,200.9931,69.22,201.0006,80.04,0.8751,10.83,45.25
438,201.8634,81.52,201.8682,60.56,201.8808,81.52,0.7869,20.97,179.11
439,202.6503,82.43,202.6551,62.44,202.6677,82.43,0.6591,19.99,224.63
440,203.3097,82.87,203.3142,56.17,203.3268,82.87,1.0707,26.7,221.04
441,204.3762,84.88,204.3849,64.17,204.3975,84.88,1.0527,20.71,232.64
442,205.4304,83.88,205.4376,69.19,205.4502,83.88,1.1112,14.69,121.92
443,206.5434,86.21,206.5488,73.36,206.5614,86.21,0.237,12.85,88.86
444,206.7807,85.35,206.7858,64.88,206.7984,85.35,0.2391,20.47,171.42
445,207.0192,81.99,207.0249,68.64,207.0375,81.99,0.423,13.35,89.85
446,207.4428,76.99,207.4479,56.59,207.4587,76.99,1.1136,20.4,132.51
447,208.5579,82.42,208.5615,61.32,208.5741,82.42,1.2402,21.1,140.47
448,209.7939,85.52,209.8017,69.19,209.8143,85.52,0.4071,16.33,109.67
449,210.2004,81.8,210.2088,70.89,210.2181,81.8,2.8473,10.92,68.61
450,213.0501,80.88,213.0561,68.38,213.0687,80.88,0.5583,12.5,72.39
451,213.6108,78.49,213.6144,47.12,213.627,78.49,0.4566,31.36,277.16
452,214.0671,80.96,214.071,68.98,214.0836,80.96,0.6582,11.99,103.39
453,214.7214,81.79,214.7292,67.3,214.7418,81.79,0.24,14.48,101.85
454,214.9629,81.09,214.9692,59.44,214.9818,81.09,0.2001,21.65,131.4
455,215.1615,79.66,215.1693,62.2,215.1819,79.66,1.5981,17.47,165.9
456,216.7587,80.79,216.7674,33.99,216.78,80.79,0.7461,46.8,324.84
457,217.5075,75.12,217.5135,52.27,217.5261,75.12,0.0885,22.85,229.57
458,217.5981,78.14,217.602,56.66,217.6146,78.14,0.1281,21.49,117.08
459,217.7214,78.01,217.7301,53.16,217.7427,78.01,0.3231,24.84,172.14
460,218.0496,79.88,218.0532,56.39,218.0658,79.88,0.5313,23.49,133.51
461,218.5767,86,218.5845,65.48,218.5971,86,0.2259,20.52,232.01
462,218.805,81.11,218.8104,71.59,218.823,81.11,0.0753,9.52,70.93
463,218.8806,83.89,218.8857,71.14,218.8983,83.89,0.1731,12.75,129.49
464,219.0501,80.78,219.0588,49.24,219.0714,80.78,0.0267,31.54,186.42
465,219.0801,86.07,219.0855,72.2,219.0981,86.07,0.0228,13.86,185.5
466,219.1005,80.19,219.1083,65.88,219.1209,80.19,0.0234,14.31,109.93
467,219.1251,82.23,219.1317,66.89,219.1443,82.23,0.1503,15.35,179.35
468,219.276,81.85,219.282,70.21,219.2946,81.85,0.1911,11.65,85.86
469,219.4647,78.24,219.4731,65.55,219.48,78.24,0.1599,12.69,70.57
470,219.6294,83.28,219.633,59.14,219.6456,83.28,0.1689,24.14,150.23
471,219.7983,77.04,219.8019,51.17,219.8145,77.04,0.1824,25.87,290.41
472,219.9765,78.47,219.9843,65.29,219.9969,78.47,0.2538,13.18,112.37
473,220.2315,81.35,220.2381,66.5,220.2507,81.35,0.2802,14.86,123.41
474,220.512,82.98,220.5183,64.08,220.5309,82.98,1.1532,18.9,169.75
475,221.664,86.16,221.6715,61.67,221.6841,86.16,0.1674,24.48,162.23
476,221.8311,83.75,221.8389,70.92,221.8515,83.75,0.1986,12.84,97.38
477,222.0333,83.24,222.0375,71.3,222.0501,83.24,1.9167,11.93,102.1
478,223.9485,82.83,223.9542,70.15,223.9668,82.83,0.0717,12.69,95.26
479,224.0199,82.42,224.0259,68.37,224.0385,82.42,0.3927,14.05,116.14
480,224.4117,82.05,224.4186,65.01,224.4312,82.05,0.72,17.04,130.88
481,225.1353,77.23,225.1386,56.91,225.1512,77.23,0.2031,20.32,191.18
482,225.3372,80.06,225.3417,68.68,225.3543,80.06,0.0477,11.38,90.03
483,225.3819,80.97,225.3894,63.07,225.402,80.97,0.0894,17.9,158.11
484,225.474,79.66,225.4788,61.51,225.4914,79.66,0.1104,18.15,143.31
485,225.5811,81.41,225.5892,68.14,225.6018,81.41,0.6318,13.26,141.66
486,226.2171,77.62,226.221,59.57,226.2336,77.62,0.0483,18.05,145.52
487,226.2621,83.05,226.2693,64.53,226.2819,83.05,0.7641,18.52,158.9
488,227.0277,82.5,227.0334,61.56,227.046,82.5,0.3285,20.94,171.44
489,227.3586,81.27,227.3619,66.89,227.3745,81.27,0.9282,14.38,127.64
490,228.2856,80.09,228.2901,65.78,228.3027,80.09,0.2184,14.31,142.25
491,228.5019,82.78,228.5085,60.24,228.5211,82.78,0.0855,22.53,135.62
492,228.5898,77.54,228.594,59.28,228.6027,77.54,0.7323,18.26,85.22
493,229.3185,78.23,229.3263,55.66,229.3389,78.23,0.0507,22.56,212.07
494,229.3692,79.34,229.377,55.61,229.3896,79.34,0.1467,23.73,206.31
495,229.5183,82.77,229.5237,70.39,229.5363,82.77,0.5976,12.38,128.2
496,230.1159,70.33,230.1213,52.32,230.1339,70.33,0.6024,18.01,111.25
497,230.718,81.4,230.7237,65.53,230.7363,81.4,0.3534,15.87,142.44
498,231.0735,78.35,231.0771,62.12,231.0897,78.35,0.4305,16.24,139.28
499,231.504,76.03,231.5076,62.71,231.5202,76.03,0.4173,13.32,110.13
500,231.9162,75.43,231.9249,48.47,231.9375,75.43,0.0516,26.96,179.14
501,231.9687,76.45,231.9765,47.57,231.9885,76.45,0.4203,28.88,134.74
502,232.3908,76.71,232.3968,58.79,232.4094,76.71,0.3108,17.92,173.46
503,232.7001,75.78,232.7076,58.98,232.7202,75.78,0.4119,16.81,127.49
504,233.1108,77.99,233.1195,53.88,233.1321,77.99,0.5955,24.12,255.7
505,233.7084,74.45,233.715,48.88,233.7276,74.45,0.8505,25.57,243.85
506,234.5568,75.98,234.5655,64.37,234.5781,75.98,0.3972,11.61,159.63
507,234.9576,76.49,234.9627,63.03,234.9753,76.49,0.1002,13.47,121.69
508,235.0569,75.67,235.0629,66.15,235.0755,75.67,0.6867,9.52,84.18
509,235.7412,75.23,235.7496,62.18,235.7622,75.23,0.0489,13.05,126.58
510,235.7919,80.61,235.7985,66.09,235.8111,80.61,0.6633,14.52,108.76
511,236.4573,77.16,236.4618,54.88,236.4744,77.16,0.4644,22.28,177.55
512,236.9223,74.83,236.9262,50.84,236.9388,74.83,0.5529,23.99,124.73
513,237.4725,75.55,237.4791,56.64,237.4917,75.55,0.7557,18.91,139.59
514,238.2318,77.05,238.2348,61.86,238.2474,77.05,0.2526,15.19,127.98
515,238.485,76.44,238.4874,58.73,238.5,76.44,1.0416,17.71,100.31
516,239.523,77.98,239.529,66.12,239.5386,77.98,0.2547,11.85,80.99
517,239.7762,72.38,239.7837,52.18,239.7963,72.38,0.3225,20.2,209.83
518,240.1008,74.9,240.1062,56.2,240.1188,74.9,3.5724,18.71,121.68
519,243.6753,78.81,243.6786,65.1,243.6912,78.81,0.2667,13.71,147.27
520,243.9393,75.78,243.9453,64.96,243.9579,75.78,1.278,10.82,107.03
521,245.2149,74.24,245.2233,58.3,245.2359,74.24,2.5041,15.94,113.84
522,247.7235,75.77,247.7274,50.5,247.74,75.77,0.9678,25.27,210.83
523,248.6898,78.13,248.6952,-492.83,248.7078,78.13,0.0285,570.96,2702.88
524,248.7162,33.86,248.7237,-37.48,248.7363,33.86,0.0078,71.34,1278.26
525,248.7231,-40.25,248.7315,-84.9,248.7339,-40.25,0.0123,44.64,165.06
526,248.7363,33.57,248.7438,-38.14,248.7564,33.57,0.0075,71.71,1348.99
527,248.7429,-40.17,248.7513,-83.98,248.7537,-40.17,0.0108,43.82,167.25
528,248.7546,-1.7,248.7621,-36.22,248.7747,-1.7,0.7869,34.52,509.72
529,249.543,-30.91,249.549,-41.29,249.5616,-30.91,0.4176,10.39,104.55
530,249.9585,-28.94,249.9666,-44.22,249.9792,-28.94,1.2003,15.28,153.24
531,251.1606,-34.1,251.1669,-961.24,251.1678,-34.1,0.0039,927.14,632.89
532,251.1678,-26.64,251.1708,-70.44,251.1834,-26.64,0.0201,43.8,345.8
533,251.187,-8.33,251.1909,-59.76,251.2035,-8.33,0.0201,51.43,532.3
534,251.2071,-6.52,251.211,-59.34,251.2236,-6.52,0.0114,52.82,636.55
535,251.214,-46.25,251.2224,-73.78,251.2248,-46.25,0.0102,27.52,94.17
536,251.2263,-8.64,251.2326,-46.19,251.2452,-8.64,0.6027,37.55,511.86
537,251.8293,-34.13,251.8353,-55,251.8479,-34.13,2.7201,20.87,252.13
538,254.5491,-33.05,254.5554,-50.63,254.568,-33.05,0.1617,17.58,162.58
539,254.7108,-37.64,254.7171,-64.87,254.7297,-37.64,0.246,27.23,276.14
540,254.9577,-37.42,254.9631,-71.73,254.9757,-37.42,0.6888,34.31,288.86
541,255.6486,-35.39,255.6519,-57.04,255.6645,-35.39,0.4005,21.65,153.35
