NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC]
208,24.5949,-242.6,24.6003,-291.75,24.6108,-242.6,0.1026,49.15,214.48
209,24.699,-249.13,24.7029,-287.44,24.7134,-249.13,0.1191,38.31,181.82
210,24.8166,-242.35,24.822,-288.5,24.8349,-242.35,0.0477,46.15,327.73
211,24.8643,-246.52,24.8697,-313.19,24.8826,-246.52,0.06,66.67,406.84
212,24.9273,-254.51,24.9297,-309.63,24.939,-254.51,0.0786,55.12,199.51
213,25.0029,-257.52,25.0083,-293.69,25.0188,-257.52,0.1197,36.17,181.09
214,25.1226,-251.95,25.128,-299.88,25.134,-251.95,0.0663,47.92,194.92
215,25.1889,-245.6,25.1943,-294,25.2072,-245.6,0.0585,48.4,322
216,25.2474,-254.83,25.2528,-311,25.2621,-254.83,0.2337,56.17,209.63
217,25.4808,-251.63,25.4865,-297.25,25.4922,-251.63,0.0228,45.62,211.18
218,25.5039,-254.86,25.5093,-316.56,25.5168,-254.86,0.0201,61.7,257.53
219,25.5246,-264.62,25.5294,-307.38,25.5351,-264.62,0.0525,42.75,95.6
220,25.5771,-254.86,25.5819,-294.63,25.5906,-254.86,0.0255,39.76,183.85
221,25.602,-250.2,25.6074,-287.38,25.6143,-250.2,0.0654,37.17,146.33
222,25.6671,-251.66,25.6728,-328.81,25.6857,-251.66,0.114,77.16,452.04
223,25.7814,-263.79,25.7868,-323.63,25.7988,-263.79,0.0603,59.83,275.8
224,25.8423,-265.19,25.8471,-302.06,25.8549,-265.19,0.0606,36.87,112.36
225,25.9029,-262.1,25.9077,-333.44,25.9161,-262.1,0.1785,71.34,291.96
226,26.0826,-250.77,26.0862,-310.13,26.0949,-250.77,0.0585,59.36,209.56
227,26.1411,-257.73,26.1447,-293.94,26.1519,-257.73,0.0225,36.21,86.25
228,26.1618,-247.8,26.1672,-295.13,26.1801,-247.8,0.0342,47.33,321.2
229,26.1966,-246.1,26.2014,-286.69,26.2092,-246.1,0.2781,40.59,155.3
230,26.4747,-236.72,26.4795,-326.19,26.4924,-236.72,0.1263,89.46,553.64
231,26.6007,-244.25,26.6058,-323.56,26.6169,-244.25,0.1962,79.31,419.7
232,26.7972,-246.94,26.802,-312.75,26.8149,-246.94,0.1497,65.81,388.02
233,26.9493,-248.21,26.9517,-302.06,26.9646,-248.21,0.0318,53.86,227.92
234,26.9781,-253.42,26.9835,-310.13,26.9964,-253.42,0.1296,56.71,374.49
235,27.1077,-254.78,27.1131,-292.88,27.1227,-254.78,0.1161,38.1,157.16
236,27.2244,-252.11,27.2292,-329.56,27.2376,-252.11,0.342,77.45,240.51
237,27.5658,-250.64,27.5712,-316.69,27.5841,-250.64,0.1128,66.04,386.53
238,27.6786,-240.03,27.684,-286.38,27.6903,-240.03,0.0552,46.34,177.97
239,27.7341,-252.79,27.7392,-292.31,27.7491,-252.79,0.1599,39.52,197.61
240,27.8937,-250.49,27.8991,-299.75,27.9069,-250.49,0.15,49.26,160.52
241,28.0443,-249.06,28.0491,-287.13,28.0596,-249.06,0.0348,38.07,207.35
242,28.0788,-249.5,28.0839,-299.13,28.0959,-249.5,0.0792,49.62,320.26
243,28.1574,-251.4,28.1631,-299.06,28.1703,-251.4,0.2187,47.67,246.8
244,28.3764,-233.95,28.3818,-274.88,28.3908,-233.95,0.0309,40.93,200.6
245,28.4079,-245.52,28.4127,-287.69,28.4199,-245.52,0.0813,42.17,196.49
246,28.4892,-244.12,28.494,-304.94,28.5069,-244.12,0.0912,60.82,400.66
247,28.5804,-259.55,28.5852,-305.94,28.5954,-259.55,0.1497,46.39,240.64
248,28.7295,-243.18,28.7349,-324,28.7445,-243.18,0.1215,80.82,354.98
249,28.851,-242.82,28.8564,-296.44,28.8627,-242.82,0.0117,53.62,184.89
250,28.8627,-248.32,28.8681,-294.63,28.8768,-248.32,0.0381,46.31,221.76
251,28.9008,-250.71,28.9062,-293.5,28.9191,-250.71,0.1371,42.79,295.45
252,29.0379,-258.83,29.0433,-294.94,29.0511,-258.83,0.0225,36.11,139.15
253,29.0604,-257.83,29.0658,-295.06,29.0787,-257.83,0.0588,37.23,296.43
254,29.1198,-241.54,29.1246,-292.13,29.1375,-241.54,0.048,50.58,314.48
255,29.1672,-255.49,29.1726,-297.38,29.1816,-255.49,0.0453,41.88,128.51
256,29.2131,-262.36,29.2179,-326.31,29.2305,-262.36,0.0843,63.96,353.84
257,29.2968,-244.65,29.3022,-286.13,29.3109,-244.65,0.0582,41.47,183.66
258,29.355,-249.67,29.3604,-301.38,29.3733,-249.67,0.2877,51.7,346.89
259,29.6445,-252.57,29.6481,-292.75,29.6547,-252.57,0.0453,40.18,109.14
260,29.6883,-262.65,29.6934,-301.31,29.7009,-262.65,0.1467,38.66,77.34
261,29.8365,-242.41,29.8401,-295.25,29.853,-242.41,0.0774,52.84,347.01
262,29.9139,-256.56,29.9175,-294.5,29.9262,-256.56,0.1869,37.94,129.01
263,30.1005,-276.42,30.1044,-322.63,30.1104,-276.42,0.1032,46.2,183.76
264,30.204,-246.83,30.2076,-286,30.2148,-246.83,0.1407,39.17,160.32
265,30.3429,-245.45,30.3483,-359.44,30.3591,-245.45,0.0924,113.99,767.72
266,30.4371,-252.36,30.4407,-290.38,30.4491,-252.36,0.0441,38.01,128.26
267,30.4797,-250.86,30.4848,-318.56,30.4959,-250.86,0.0633,67.7,305.93
268,30.5427,-247.26,30.5481,-300.63,30.561,-247.26,0.126,53.36,270.09
269,30.6693,-246.42,30.6741,-299.56,30.687,-246.42,0.1512,53.15,446.55
270,30.8196,-250.2,30.8253,-297.25,30.8337,-250.2,0.1224,47.05,272.68
271,30.9423,-243.37,30.9477,-318.56,30.9579,-243.37,0.0339,75.19,340.56
272,30.9762,-247.94,30.9816,-294.44,30.9909,-247.94,0.0309,46.5,265.15
273,31.0071,-246.74,31.0125,-303.25,31.023,-246.74,0.1881,56.51,285.95
274,31.1961,-253.56,31.2006,-292.5,31.2117,-253.56,0.1179,38.94,171.02
275,31.3137,-262.98,31.3185,-326.88,31.3305,-262.98,0.1437,63.89,366.08
276,31.4586,-251.21,31.4622,-294.38,31.4679,-251.21,0.1275,43.17,117.45
277,31.5849,-256.6,31.5897,-313.19,31.5981,-256.6,0.2667,56.58,183.93
278,31.851,-255.11,31.8564,-295.31,31.8693,-255.11,0.1821,40.2,319.47
279,32.0361,-247.17,32.0385,-290.81,32.0469,-247.17,0.0222,43.65,160.09
280,32.0559,-241.93,32.0607,-287.44,32.0667,-241.93,0.0084,45.5,182.52
281,32.0667,-246.45,32.0691,-286.5,32.0787,-246.45,0.0498,40.05,172.33
282,32.1135,-247.7,32.1189,-293.31,32.1318,-247.7,0.1281,45.61,343.89
283,32.2422,-255.63,32.247,-303,32.2584,-255.63,0.0234,47.37,299.79
284,32.2647,-272.61,32.2704,-333.13,32.2758,-272.61,0.0966,60.51,304.82
285,32.3613,-250.85,32.367,-292.88,32.3778,-250.85,0.0843,42.02,257.43
286,32.4459,-252.39,32.4513,-298.44,32.457,-252.39,0.0243,46.05,206.51
287,32.4705,-247.36,32.4756,-283.19,32.4813,-247.36,0.0471,35.82,110.11
288,32.5173,-250.95,32.5227,-310.81,32.5356,-250.95,0.1797,59.86,598.37
289,32.6976,-244.02,32.7024,-291.5,32.7153,-244.02,0.1161,47.48,338.05
290,32.8149,-246.86,32.8185,-324.31,32.8311,-246.86,0.0798,77.46,364.85
291,32.8947,-251.57,32.8983,-294.63,32.9055,-251.57,0.1377,43.05,151.28
292,33.0324,-251.17,33.036,-294.19,33.0447,-251.17,0.1536,43.01,217.1
293,33.1848,-242.41,33.1896,-289.06,33.1989,-242.41,0.072,46.66,190.38
294,33.2562,-250.74,33.2616,-343.38,33.2745,-250.74,0.0426,92.64,747.92
295,33.2988,-254.36,33.3042,-319.19,33.3126,-254.36,0.1512,64.83,271.83
296,33.45,-252.72,33.4554,-293.75,33.4629,-252.72,0.0309,41.03,147.14
297,33.4803,-257.82,33.4863,-309.75,33.4923,-257.82,0.0705,51.93,268.36
298,33.5514,-252.21,33.5568,-292.56,33.5667,-252.21,0.0141,40.35,165.34
299,33.567,-255.84,33.5709,-295.81,33.5796,-255.84,0.1143,39.97,137.94
300,33.6804,-238.24,33.6852,-281.75,33.6981,-238.24,0.1875,43.51,220.47
301,33.8679,-250.5,33.8727,-286.69,33.879,-250.5,0.0375,36.19,120.36
302,33.9045,-253.35,33.9102,-299.63,33.9204,-253.35,0.1488,46.28,243.6
303,34.0554,-247.5,34.059,-293.81,34.0719,-247.5,0.117,46.31,311.48
304,34.1712,-245.07,34.176,-298.19,34.1877,-245.07,0.3702,53.12,281.6
305,34.5405,-243.49,34.5462,-305.44,34.5591,-243.49,0.0258,61.95,467.07
306,34.5663,-251.18,34.572,-292.5,34.5849,-251.18,0.1887,41.32,269.03
307,34.7553,-248.98,34.7607,-313.63,34.7682,-248.98,0.0165,64.65,268.83
308,34.7736,-258.9,34.7772,-310.69,34.7847,-258.9,0.3516,51.79,140.03
309,35.1234,-235.27,35.1288,-286.5,35.139,-235.27,0.15,51.23,308.26
