NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC],
113,19.22850,-15.78,19.23330,-82.66,19.24740,-18.59,0.21180,66.88,484.13,
114,19.43760,-0.42,19.44510,-66.09,19.45290,-8.44,0.37020,65.68,469.56,
115,19.81020,-13.65,19.81530,-82.97,19.82910,-15.16,0.02880,69.32,522.69,
116,19.84200,-10.47,19.84410,-71.25,19.85340,-10.16,0.07650,60.78,317.53,
117,19.91340,-20.73,19.92060,-98.13,19.92720,-42.34,0.01680,77.40,596.56,
118,19.93200,-41.30,19.93740,-87.19,19.94640,-24.69,0.33030,45.89,212.33,
119,20.25930,-35.78,20.26770,-113.91,20.27850,-49.06,0.00000,78.13,776.63,
120,20.30190,-30.57,20.26770,-113.91,20.32410,-28.13,0.48720,83.33,372.28,
121,20.74980,-10.52,20.75490,-84.06,20.76570,-19.53,0.48930,73.54,563.62,
122,21.24030,-15.52,21.24420,-77.97,21.25620,-7.66,0.02700,62.45,345.84,
123,21.26760,4.48,21.27120,-70.31,21.28470,-7.66,0.22860,74.79,663.92,
124,21.49020,-42.19,21.49980,-91.25,21.50910,-10.47,0.30600,49.06,0.00,
125,21.79980,-6.77,21.80580,-70.31,21.81270,-1.56,0.04200,63.54,282.39,
126,21.83790,-22.60,21.84780,-78.28,21.85590,-15.94,0.02130,55.68,241.23,
127,21.86040,-7.92,21.86910,-77.03,21.88560,-23.59,0.57750,69.11,675.58,
128,22.43610,-10.89,22.44660,-65.47,22.45140,-0.31,0.30450,54.58,328.09,
129,22.74510,4.06,22.75110,-60.62,22.76640,8.28,0.09300,64.69,566.77,
130,22.83780,13.18,22.84410,-42.81,22.85580,10.16,0.62460,55.99,389.92,
131,23.46360,-3.07,23.46870,-55.63,23.47830,0.47,0.10350,52.55,364.53,
132,23.56620,-11.35,23.57220,-92.19,23.58900,-15.16,0.60840,80.83,563.80,
133,24.17610,-33.44,24.18060,-104.69,24.18900,-44.84,0.04770,71.25,470.77,
134,24.22290,-29.06,24.22830,-86.41,24.23850,-30.31,1.05390,57.34,337.27,
135,25.27560,11.30,25.28220,-44.06,25.29330,4.53,0.17700,55.36,418.13,
136,25.45110,-0.57,25.45920,-65.16,25.46760,-2.03,0.40230,64.58,481.06,
137,25.85190,-8.80,25.86150,-70.94,25.86870,-7.97,0.32940,62.14,383.44,
138,26.18520,3.23,26.19090,-105.31,26.19810,-20.78,0.83700,108.54,902.17,
139,27.01800,11.46,27.02790,-40.31,27.03600,19.53,0.10500,51.77,346.47,
140,27.12330,3.49,27.13290,-66.41,27.13800,5.78,0.29400,69.90,415.30,
141,27.42420,27.29,27.42690,-44.22,27.43800,17.34,0.40470,71.51,496.56,
142,27.82500,-28.75,27.83160,-81.88,27.84750,-21.25,0.04800,53.13,227.53,
143,27.87600,-17.76,27.87960,-79.84,27.89280,-28.75,0.21870,62.08,683.06,
144,28.09500,24.48,28.09830,-50.63,28.10670,18.44,0.24540,75.10,451.44,
145,28.33950,21.72,28.34370,-32.50,28.35270,26.25,0.41820,54.22,293.06,
146,28.75410,-7.71,28.76190,-56.88,28.76940,9.06,0.67950,49.17,186.27,
147,29.43270,15.05,29.44140,-59.84,29.45220,-20.00,0.31920,74.90,729.00,
148,29.75250,0.10,29.76060,-73.59,29.76750,-18.59,0.38250,73.70,636.14,
149,30.13350,-16.77,30.14310,-53.59,30.15180,4.06,0.08280,36.82,25.28,
150,30.21690,-5.00,30.22590,-67.34,30.23310,-8.28,0.22710,62.34,380.11,
151,30.45000,-0.10,30.45300,-64.38,30.46290,-0.47,0.09510,64.27,385.67,
152,30.54330,-0.52,30.54810,-68.75,30.56430,-6.72,0.08640,68.23,460.28,
153,30.62850,-9.01,30.63450,-61.56,30.64980,-5.16,0.04470,52.55,278.72,
154,30.67380,4.90,30.67920,-52.66,30.69180,5.00,0.90810,57.55,444.53,
155,31.58160,-4.11,31.58730,-58.59,31.59240,-11.72,0.01950,54.48,244.44,
156,31.59780,-10.31,31.60680,-65.16,31.61490,-7.03,0.45900,54.84,413.72,
157,32.05620,12.40,32.06580,-52.81,32.07810,5.00,0.05760,65.21,656.98,
158,32.11950,12.29,32.12340,-56.72,32.13330,8.75,0.03210,69.01,448.52,
159,32.15010,8.33,32.15550,-90.00,32.16480,-3.75,0.16050,98.33,651.27,
160,32.31300,-3.65,32.31600,-65.47,32.33010,3.44,0.00000,61.82,379.39,
161,32.87520,-1.93,32.31600,-65.47,32.89830,0.94,0.89910,63.54,527.06,
162,33.21180,24.01,33.21510,-49.06,33.22710,2.34,0.20220,73.07,598.34,
163,33.41010,-17.29,33.41730,-80.94,33.42450,-12.81,0.18600,63.65,433.05,
164,33.59580,4.74,33.60330,-54.84,33.61890,-3.91,0.36870,59.58,565.83,
165,33.96930,1.61,33.97200,-59.69,33.98910,6.25,0.04530,61.30,281.92,
166,34.01100,5.42,34.01730,-58.28,34.02600,3.44,0.60630,63.70,450.37,
167,34.61910,15.31,34.62360,-38.59,34.63050,10.47,0.09990,53.91,320.34,
168,34.71960,6.25,34.72350,-70.16,34.73280,13.59,0.31980,76.41,374.30,
169,35.03340,23.49,35.04330,-30.47,35.05200,20.63,0.06240,53.96,491.48,
170,35.09790,12.76,35.10570,-42.34,35.11200,7.97,0.46140,55.10,366.89,
171,35.55720,1.20,35.56710,-37.97,35.58210,5.94,0.09660,39.17,77.39,
172,35.65920,-14.01,35.66370,-80.94,35.67150,-2.03,0.38670,66.93,276.61,
173,36.04020,7.19,36.05040,-49.84,36.05730,9.38,0.20130,57.03,318.80,
174,36.24180,7.45,36.25170,-38.13,36.25860,16.41,0.73770,45.57,255.23,
175,36.98430,13.75,36.98940,-52.34,37.00020,-1.25,0.13200,66.09,542.02,
176,37.11450,22.71,37.12140,-61.25,37.13850,16.25,0.21270,83.96,863.67,
177,37.32930,20.42,37.33410,-56.72,37.34550,11.25,0.06990,77.14,677.00,
178,37.39350,6.25,37.40400,-52.19,37.41150,16.25,0.03330,58.44,299.02,
179,37.42770,12.50,37.43730,-36.72,37.44750,15.78,0.81750,49.22,359.16,
180,38.24910,10.68,38.25480,-49.38,38.27250,12.50,0.09540,60.05,454.23,
181,38.34090,-28.44,38.35020,-62.81,38.35860,0.16,0.22770,34.37,0.00,
182,38.57040,29.17,38.57790,-51.72,38.58630,13.59,0.33690,80.89,713.72,
183,38.91180,18.85,38.91480,-46.41,38.92560,14.38,0.26940,65.26,431.12,
184,39.17760,7.86,39.18420,-51.41,39.19380,4.06,0.08010,59.27,552.06,
185,39.25620,5.99,39.26430,-51.25,39.27180,3.91,0.00000,57.24,383.84,
186,39.37890,4.95,39.26430,-51.25,39.39060,7.81,0.46020,56.20,334.30,
187,39.71670,16.25,39.72450,-56.25,39.73200,6.25,1.25340,72.50,635.34,
188,40.96740,-1.67,40.97790,-47.50,40.98510,16.88,0.11580,45.83,147.70,
189,41.08800,23.80,41.09370,-40.16,41.10390,18.28,0.77760,63.96,521.95,
190,41.86110,-23.75,41.87130,-76.25,41.88510,11.41,0.33000,52.50,19.17,
191,42.19230,6.35,42.20130,-59.84,42.20880,-4.84,0.08400,66.20,677.50,
192,42.28170,18.44,42.28530,-43.28,42.30120,-14.38,0.30660,61.72,704.58,
193,42.58530,16.09,42.59190,-56.41,42.60270,8.13,0.29760,72.50,498.42,
194,42.88140,8.33,42.88950,-57.66,42.89970,4.84,0.05370,65.99,641.23,
195,42.93720,4.95,42.94320,-72.19,42.95580,-4.06,0.16230,77.14,705.84,
196,43.10040,1.61,43.10550,-77.66,43.11600,-17.50,0.15690,79.27,726.78,
197,43.25760,22.92,43.26240,-24.22,43.27080,23.75,0.27000,47.14,248.16,
198,43.52130,-16.20,43.53240,-99.69,43.53930,-35.94,1.39440,83.49,941.41,
199,44.91750,13.91,44.92680,-25.31,44.93310,26.25,0.00000,39.22,121.17,
200,45.47550,22.76,44.92680,-25.31,45.49050,21.41,2.17230,48.07,365.02,
201,47.09190,1.35,47.09910,-55.63,47.10900,-0.16,0.66300,56.98,452.75,
202,47.75670,14.58,47.76210,-39.84,47.77320,11.41,0.15030,54.43,453.36,
203,47.90610,12.40,47.91240,-45.94,47.92800,0.00,0.07560,58.33,554.61,
204,47.98440,18.80,47.98800,-45.00,47.99820,6.09,0.00000,63.80,574.20,
205,48.01440,5.10,47.98800,-45.00,48.03090,10.94,0.10860,50.10,236.69,
206,48.09240,9.58,48.09660,-72.97,48.10770,4.84,0.78600,82.55,638.08,
207,48.87720,16.82,48.88260,-37.03,48.89160,13.44,0.15990,53.85,423.73,
208,49.03950,0.42,49.04250,-58.75,49.05840,-16.88,0.36780,59.17,682.53,
209,49.40040,9.84,49.41030,-58.44,49.41810,7.81,1.09560,68.28,499.92,
210,50.49930,22.76,50.50590,-37.97,50.51370,17.66,0.19830,60.73,461.42,
211,50.69370,3.44,50.70420,-70.00,50.71140,-2.50,1.31100,73.44,565.88,
212,52.01100,-6.35,52.01520,-70.00,52.02660,3.59,0.70920,63.65,284.42,
