NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
26114,384.1866,-226.51,384.1923,-241.69,384.1917,-226.51,0.003,15.18,28.76
26115,384.1917,-237.98,384.1953,-263.5,384.1944,-237.98,0.0033,25.52,5.56
26116,384.1944,-245.69,384.1986,-269.19,384.2058,-245.69,0.0096,23.5,62.13
26117,384.2058,-233.42,384.2082,-248.88,384.2142,-233.42,0.0426,15.46,42.9
26118,384.2493,-232.28,384.2508,-239.56,384.258,-232.28,0.0132,7.29,29.27
26119,384.2586,-234.9,384.264,-245.19,384.2703,-234.9,0.0087,10.29,20
26120,384.2703,-231.78,384.2727,-237.25,384.279,-231.78,0.0135,5.47,25.86
26121,384.2811,-229.03,384.2862,-246.63,384.2838,-229.03,0.0018,17.59,0
26122,384.2838,-231.23,384.288,-248.69,384.2937,-231.23,0.0111,17.46,93.61
26123,384.2937,-236.32,384.2991,-272.81,384.3051,-236.32,0.0093,36.49,146.25
26124,384.3051,-239.09,384.3084,-248.56,384.3099,-239.09,0.006,9.47,10.32
26125,384.3099,-241.89,384.3144,-258.25,384.3201,-241.89,0.0114,16.36,20.25
26126,384.3204,-237.01,384.3258,-275.19,384.3363,-237.01,0.0282,38.18,191.86
26127,384.3483,-234.85,384.354,-241.63,384.3603,-234.85,0.021,6.77,32.54
26128,384.3726,-243.68,384.375,-258.38,384.3735,-243.68,0.0027,14.7,0.05
26129,384.3735,-245.09,384.3777,-256.25,384.3825,-245.09,0.0096,11.16,13.34
26130,384.3825,-236.7,384.3873,-256.94,384.3936,-236.7,0.0099,20.24,71.25
26131,384.3936,-239.1,384.3972,-254.94,384.4047,-239.1,0.0135,15.84,22.17
26132,384.4053,-233.68,384.4107,-265.5,384.4236,-233.68,0.0291,31.82,193.57
26133,384.4344,-239.25,384.4398,-256.31,384.4491,-239.25,0.0243,17.06,84.58
26134,384.4617,-227.84,384.4641,-258.5,384.4725,-227.84,0.0108,30.66,120.26
26135,384.4725,-236.56,384.4749,-245.44,384.4767,-236.56,0.0066,8.87,15.13
26136,384.4767,-240.44,384.4815,-265.25,384.4884,-240.44,0.0093,24.81,48.97
26137,384.4884,-236.67,384.4908,-244.44,384.4968,-236.67,0.0108,7.77,19.58
26138,384.4968,-237.28,384.5016,-245.75,384.5103,-237.28,0.0225,8.47,38.41
26139,384.5193,-229.01,384.5241,-259.88,384.5211,-229.01,0.0033,30.87,1.05
26140,384.5211,-233.39,384.5274,-259,384.5334,-233.39,0.0105,25.61,173.81
26141,384.5334,-238.86,384.5379,-245.94,384.5451,-238.86,0.0162,7.08,26.67
26142,384.5505,-236.27,384.5541,-242.25,384.5607,-236.27,0.0243,5.98,28.12
26143,384.5736,-234.84,384.5784,-255.75,384.5862,-234.84,0.033,20.91,70.04
26144,384.6099,-222.13,384.6114,-226.19,384.6165,-222.13,0.0081,4.06,24.51
26145,384.6165,-225.53,384.6195,-230.88,384.624,-225.53,0.006,5.34,0
26146,384.624,-221.13,384.6255,-228.38,384.6255,-221.13,0.0039,7.25,5.56
26147,384.6255,-224.75,384.6294,-232.75,384.6294,-224.75,0.0024,8,10.42
26148,384.6294,-227.03,384.6318,-236.19,384.6342,-227.03,0.006,9.16,21.64
26149,384.6342,-230.77,384.6378,-237.19,384.6429,-230.77,0.0093,6.42,20.14
26150,384.6444,-229.92,384.6471,-235.75,384.6573,-229.92,0.0258,5.83,22.81
26151,384.6681,-228.92,384.6729,-240.06,384.681,-228.92,0.0141,11.15,44.03
26152,384.6816,-228.36,384.687,-244.31,384.6837,-228.36,0.0021,15.95,0.94
26153,384.6837,-231.58,384.6891,-243.12,384.693,-231.58,0.0087,11.55,68.84
26154,384.693,-239.53,384.6978,-252.56,384.7038,-239.53,0.0114,13.03,32.63
26155,384.7038,-236.43,384.7092,-244.69,384.7074,-236.43,0.0033,8.25,2.54
26156,384.7074,-238.74,384.7125,-246.13,384.7215,-238.74,0.0222,7.39,56.55
26157,384.7296,-235.23,384.7347,-244.69,384.7335,-235.23,0.0042,9.46,11.26
26158,384.7335,-240.81,384.7389,-260.44,384.7479,-240.81,0.0285,19.63,92.71
26159,384.7626,-230.13,384.7674,-239.06,384.7749,-230.13,0.0291,8.93,43.12
