ID,date,cell,rep,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,17_03,cell4_17_03,1,10,21,36,15.0,cell,598.699,-0.028596026047364154,598.699
cell4_01_17_03,17_03,cell4_17_03,1,10,21,36,15.0,up,478.561,0.04789886069627643,0.04159894911419669
cell4_01_17_03,17_03,cell4_17_03,1,10,21,36,15.0,down,587.529,-0.04152277302895021,-0.013305840298746024
cell4_01_17_03,17_03,cell4_17_03,1,10,21,37,16.0,cell,601.381,-0.024244414539509648,601.381
cell4_01_17_03,17_03,cell4_17_03,1,10,21,37,16.0,up,485.464,0.05916382459705245,0.05191122538171242
cell4_01_17_03,17_03,cell4_17_03,1,10,21,37,16.0,down,593.203,-0.032266379241011715,-0.008219835432106894
cell4_01_17_03,17_03,cell4_17_03,1,10,21,38,17.0,cell,604.948,-0.01845686858555105,604.948
cell4_01_17_03,17_03,cell4_17_03,1,10,21,38,17.0,up,496.304,0.07673552106957954,0.06905855389257143
cell4_01_17_03,17_03,cell4_17_03,1,10,21,38,17.0,down,582.577,-0.04960131762497974,-0.03172867193613937
cell4_01_17_03,17_03,cell4_17_03,1,10,21,39,18.0,cell,599.169,-0.02783343939237097,599.169
cell4_01_17_03,17_03,cell4_17_03,1,10,21,39,18.0,up,479.066,0.04870412187546418,0.041880180168354646
cell4_01_17_03,17_03,cell4_17_03,1,10,21,39,18.0,down,590.663,-0.03641005922362778,-0.008820722567264613
cell4_01_17_03,17_03,cell4_17_03,1,10,21,40,19.0,cell,597.052,-0.03126832438943576,597.052
cell4_01_17_03,17_03,cell4_17_03,1,10,21,40,19.0,up,471.471,0.03615597971365978,0.028998140022463342
cell4_01_17_03,17_03,cell4_17_03,1,10,21,40,19.0,down,587.099,-0.04222426215986545,-0.011308124048038727
cell4_01_17_03,17_03,cell4_17_03,1,10,21,41,20.0,cell,599.428,-0.02741320546972579,599.428
cell4_01_17_03,17_03,cell4_17_03,1,10,21,41,20.0,up,471.377,0.03585751750001668,0.02471507467774578
cell4_01_17_03,17_03,cell4_17_03,1,10,21,41,20.0,down,587.451,-0.04165001989455806,-0.014636651301724564
cell4_01_17_03,17_03,cell4_17_03,1,10,21,42,21.0,cell,587.133,-0.047362147859386736,587.133
cell4_01_17_03,17_03,cell4_17_03,1,10,21,42,21.0,up,476.405,0.0451703447089501,0.05733250274561845
cell4_01_17_03,17_03,cell4_17_03,1,10,21,42,21.0,down,577.727,-0.05751346247367592,-0.01065455999220707
cell4_01_17_03,17_03,cell4_17_03,1,10,21,43,22.0,cell,594.53,-0.03536033192963308,594.53
cell4_01_17_03,17_03,cell4_17_03,1,10,21,43,22.0,up,473.74,0.040127495668847664,0.03833631720786355
cell4_01_17_03,17_03,cell4_17_03,1,10,21,43,22.0,down,585.92,-0.04414764747463111,-0.009107979729143964
cell4_01_17_03,17_03,cell4_17_03,1,10,21,44,23.0,cell,595.533,-0.033732939557381686,595.533
cell4_01_17_03,17_03,cell4_17_03,1,10,21,44,23.0,up,463.938,0.023599028097519365,0.015139850200123593
cell4_01_17_03,17_03,cell4_17_03,1,10,21,44,23.0,down,586.71,-0.04285886511783306,-0.00944306915564193
cell4_01_17_03,17_03,cell4_17_03,1,10,21,45,24.0,cell,599.032,-0.02805572528967739,599.032
cell4_01_17_03,17_03,cell4_17_03,1,10,21,45,24.0,up,480.346,0.05085371065318714,0.04490286110944068
cell4_01_17_03,17_03,cell4_17_03,1,10,21,45,24.0,down,581.997,-0.050547512266679556,-0.02313959751960451
cell4_01_17_03,17_03,cell4_17_03,1,10,21,46,25.0,cell,597.536,-0.030483022387272733,597.536
cell4_01_17_03,17_03,cell4_17_03,1,10,21,46,25.0,up,482.024,0.05378922776200932,0.051178209140674925
cell4_01_17_03,17_03,cell4_17_03,1,10,21,46,25.0,down,588.131,-0.04054068824566879,-0.010372447122288811
cell4_01_17_03,17_03,cell4_17_03,1,10,21,47,26.0,cell,595.038,-0.03453608933232128,595.038
