ID,power,ch,frame,time,mask,mask_region,mean,delta,rel
cell4_02_2_2022,3,fp,5,8.0,up,3,704.683,0.12404082566275665,0.0039678681109364625
cell4_02_2_2022,3,fp,5,8.0,up,4,530.955,-0.011453588001492194,0.01565635949500943
cell4_02_2_2022,3,fp,5,8.0,up,5,462.825,0.008452853671546204,0.007475209086266828
cell4_02_2_2022,3,fp,6,10.0,up,1,545.466,-0.039915598832549165,0.001783075587995338
cell4_02_2_2022,3,fp,6,10.0,up,2,416.44,0.08831775407844751,0.009652869707747156
cell4_02_2_2022,3,fp,6,10.0,up,3,678.988,0.08305469570729516,0.003833759793140687
cell4_02_2_2022,3,fp,6,10.0,up,4,546.057,0.01666372497983662,0.01614619255507873
cell4_02_2_2022,3,fp,6,10.0,up,5,459.363,0.000909475981467055,0.007439817888769136
cell4_02_2_2022,3,fp,7,12.0,up,1,587.876,0.03473099592039888,0.0019306908451111624
cell4_02_2_2022,3,fp,7,12.0,up,2,423.374,0.10643896075114942,0.009859446253440889
cell4_02_2_2022,3,fp,7,12.0,up,3,595.026,-0.05087320634837595,0.003375389122442206
cell4_02_2_2022,3,fp,7,12.0,up,4,548.834,0.021834018858074487,0.0163041534040248
cell4_02_2_2022,3,fp,7,12.0,up,5,466.173,0.01574783590909247,0.0075853924684945095
cell4_02_2_2022,3,fp,8,14.0,up,1,525.491,-0.07507395134823273,0.0017280240079341265
cell4_02_2_2022,3,fp,8,14.0,up,2,415.014,0.08459106807970615,0.009677182030885438
cell4_02_2_2022,3,fp,8,14.0,up,3,676.628,0.07929025645082932,0.003843217536941374
cell4_02_2_2022,3,fp,8,14.0,up,4,575.063,0.07066788206740278,0.0171052748993627
cell4_02_2_2022,3,fp,8,14.0,up,5,451.942,-0.015260196415435742,0.007363269281972229
cell4_02_2_2022,3,fp,9,16.0,up,1,558.542,-0.016900298832795542,0.0018405909639680523
cell4_02_2_2022,3,fp,9,16.0,up,2,440.383,0.15089001415408926,0.010290432098249678
cell4_02_2_2022,3,fp,9,16.0,up,3,686.792,0.09550286687571008,0.00390919388476637
cell4_02_2_2022,3,fp,9,16.0,up,4,573.556,0.0678621086160148,0.017096503465417877
cell4_02_2_2022,3,fp,9,16.0,up,5,477.368,0.040140705129322475,0.007793957264365296
cell4_02_2_2022,3,fp,10,18.0,up,1,686.693,0.2086605538949821,0.0022678194506914368
cell4_02_2_2022,3,fp,10,18.0,up,2,466.341,0.21872824357577875,0.010920722155192512
cell4_02_2_2022,3,fp,10,18.0,up,3,703.469,0.12210437258760864,0.004012839320475911
cell4_02_2_2022,3,fp,10,18.0,up,4,595.086,0.10794724624599822,0.017776916123708877
cell4_02_2_2022,3,fp,10,18.0,up,5,499.965,0.0893774774178028,0.00818068744536881
cell4_02_2_2022,3,fp,11,20.0,up,1,621.287,0.09353829083411624,0.002053492492736229
cell4_02_2_2022,3,fp,11,20.0,up,2,450.938,0.17847428534393178,0.01056865972764304
cell4_02_2_2022,3,fp,11,20.0,up,3,756.776,0.2071344418437202,0.004320454539472363
cell4_02_2_2022,3,fp,11,20.0,up,4,625.597,0.16475345313073692,0.01870364175245196
cell4_02_2_2022,3,fp,11,20.0,up,5,546.912,0.1916706468043272,0.008956171123304704
cell4_02_2_2022,3,fp,12,22.0,up,1,650.169,0.14437401235391448,0.0021450325948647454
cell4_02_2_2022,3,fp,12,22.0,up,2,441.43,0.15362622750660143,0.01032692671340942
cell4_02_2_2022,3,fp,12,22.0,up,3,713.871,0.1386966171408956,0.004068068074459292
