"","id","roi","int","index_app","i_app"
"341","24_05_30_cell3_ch1",2,387.452,10,"25"
"342","24_05_30_cell3_ch1",2,404.8797,11,"25"
"343","24_05_30_cell3_ch1",2,421.0739,12,"25"
"344","24_05_30_cell3_ch1",2,436.0771,13,"25"
"345","24_05_30_cell3_ch1",2,450.8474,14,"25"
"346","24_05_30_cell3_ch1",2,463.7348,15,"25"
"347","24_05_30_cell3_ch1",2,475.7326,16,"25"
"348","24_05_30_cell3_ch1",2,487.7845,17,"25"
"349","24_05_30_cell3_ch1",2,498.7208,18,"25"
"350","24_05_30_cell3_ch1",2,507.8576,19,"25"
"351","24_05_30_cell3_ch1",2,517.3597,20,"25"
"352","24_05_30_cell3_ch1",2,527.626,21,"25"
"353","24_05_30_cell3_ch1",2,478.2693,22,"25"
"354","24_05_30_cell3_ch1",2,416.6479,23,"25"
"355","24_05_30_cell3_ch1",2,375.9746,24,"25"
"356","24_05_30_cell3_ch1",2,347.5903,25,"25"
"357","24_05_30_cell3_ch1",2,325.4179,26,"25"
"358","24_05_30_cell3_ch1",2,309.3046,27,"25"
"359","24_05_30_cell3_ch1",2,296.2258,28,"25"
"360","24_05_30_cell3_ch1",2,285.6345,29,"25"
"361","24_05_30_cell3_ch1",2,276.8093,30,"25"
"362","24_05_30_cell3_ch1",2,269.8014,31,"25"
"363","24_05_30_cell3_ch1",2,263.0303,32,"25"
"364","24_05_30_cell3_ch1",2,258.0699,33,"25"
"365","24_05_30_cell3_ch1",2,253.4822,34,"25"
"366","24_05_30_cell3_ch1",2,249.5058,35,"25"
"367","24_05_30_cell3_ch1",2,245.5959,36,"25"
"368","24_05_30_cell3_ch1",2,242.4345,37,"25"
"369","24_05_30_cell3_ch1",2,239.4312,38,"25"
"370","24_05_30_cell3_ch1",2,236.3525,39,"25"
"371","24_05_30_cell3_ch1",2,233.2262,40,"25"
"372","24_05_30_cell3_ch1",2,232.3802,41,"25"
"373","24_05_30_cell3_ch1",2,229.9148,42,"25"
"374","24_05_30_cell3_ch1",2,227.2243,43,"25"
