cell,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,10,20,62,42.0,up,467.87,-0.004664061622457097,0.04351806687641567
cell4_01_17_03,10,20,62,42.0,down,561.894,-0.039510570795613105,0.0070567968682262805
cell4_01_17_03,10,20,63,43.0,cell,687.967,-0.03328538404931501,687.967
cell4_01_17_03,10,20,63,43.0,up,476.397,0.01347608317533993,0.04823465430930164
cell4_01_17_03,10,20,63,43.0,down,557.536,-0.046960041572081224,-0.01420364748120732
cell4_01_17_03,10,20,64,44.0,cell,685.558,-0.03667045267880625,685.558
cell4_01_17_03,10,20,64,44.0,up,465.336,-0.010054835272934121,0.027494607452960833
cell4_01_17_03,10,20,64,44.0,down,560.352,-0.04214643218554286,-0.005743080916834147
cell4_01_17_03,10,20,65,45.0,cell,680.342,-0.043999849927219004,680.342
cell4_01_17_03,10,20,65,45.0,up,473.992,0.008359741174788573,0.05463172489208662
cell4_01_17_03,10,20,65,45.0,down,557.72,-0.046645515958756135,-0.0028262554991173383
cell4_01_17_03,10,20,66,46.0,cell,677.311,-0.04825893793717657,677.311
cell4_01_17_03,10,20,66,46.0,up,466.259,-0.008091266180830602,0.04206833909925105
cell4_01_17_03,10,20,66,46.0,down,554.291,-0.052506974263599786,-0.004522159863916254
cell4_01_17_03,10,20,67,47.0,cell,684.447,-0.03823160305131132,684.447
cell4_01_17_03,10,20,67,47.0,up,464.51,-0.011812048783310663,0.027335618557495788
cell4_01_17_03,10,20,67,47.0,down,556.078,-0.04945231518201471,-0.01172504862308043
cell4_01_17_03,10,20,68,48.0,cell,677.515,-0.04797228206319731,677.515
cell4_01_17_03,10,20,68,48.0,up,472.783,0.005787742223160017,0.05633103446042074
cell4_01_17_03,10,20,68,48.0,down,561.572,-0.040060990618931765,0.008250461883762848
cell4_01_17_03,10,20,69,49.0,cell,674.336,-0.052439336099375206,674.336
cell4_01_17_03,10,20,69,49.0,up,466.702,-0.0071488381117061975,0.04766013474351319
cell4_01_17_03,10,20,69,49.0,down,556.3,-0.049072833192024864,0.003493614247243688
cell4_01_17_03,10,20,70,50.0,cell,688.814,-0.032095200101959674,688.814
cell4_01_17_03,10,20,70,50.0,up,475.581,0.011740143436275555,0.04515242437359512
cell4_01_17_03,10,20,70,50.0,down,565.827,-0.0327875858107924,-0.0007742887355624415
cell4_01_17_03,10,20,71,51.0,cell,669.967,-0.058578549400432625,669.967
cell4_01_17_03,10,20,71,51.0,up,477.134,0.015043960121039103,0.078062787777256
cell4_01_17_03,10,20,71,51.0,down,557.939,-0.04627116210376622,0.013013438941116364
cell4_01_17_03,10,20,72,52.0,cell,672.635,-0.05482954022505585,672.635
cell4_01_17_03,10,20,72,52.0,up,468.832,-0.0026175248222365544,0.05510307074916057
cell4_01_17_03,10,20,72,52.0,down,556.682,-0.04841985066870884,0.006722130915048852
cell4_01_17_03,10,20,73,53.0,cell,676.862,-0.04888986189510177,676.862
cell4_01_17_03,10,20,73,53.0,up,467.927,-0.004542801125978297,0.04648998015957576
cell4_01_17_03,10,20,73,53.0,down,564.868,-0.03442687963241526,0.015146539087567988
cell4_01_17_03,10,20,74,54.0,cell,675.531,-0.050760150955231655,675.531
cell4_01_17_03,10,20,74,54.0,up,473.949,0.008268263958146683,0.062046249964850905
cell4_01_17_03,10,20,74,54.0,down,557.477,-0.047060894893745146,0.0038378560665854847
cell4_01_17_03,10,20,75,55.0,cell,683.994,-0.038868147712647745,683.994
cell4_01_17_03,10,20,75,55.0,up,472.051,0.004230502163116866,0.04470514112146408
cell4_01_17_03,10,20,75,55.0,down,564.193,-0.03558071000738461,0.0033611937615160895
cell4_01_17_03,10,20,76,56.0,cell,677.925,-0.047396159963533004,677.925
cell4_01_17_03,10,20,76,56.0,up,468.555,-0.0032068082875807017,0.04625134402641898
cell4_01_17_03,10,20,76,56.0,down,560.753,-0.04146097147389436,0.006171136181503025
cell4_01_17_03,10,20,77,57.0,cell,682.917,-0.04038152210615628,682.917
cell4_01_17_03,10,20,77,57.0,up,459.569,-0.02232341918860148,0.018684983139028985
cell4_01_17_03,10,20,77,57.0,down,561.816,-0.039643902305609505,0.0007096280122616116
cell4_01_17_03,10,20,78,58.0,cell,675.037,-0.05145430782653443,675.037
cell4_01_17_03,10,20,78,58.0,up,478.2,0.01731174414290508,0.0723562711147875
cell4_01_17_03,10,20,78,58.0,down,558.65,-0.04505579410879861,0.006686220125010974
cell4_01_17_03,10,20,79,59.0,cell,678.805,-0.04615960521303393,678.805
cell4_01_17_03,10,20,79,59.0,up,471.868,0.0038411921481061083,0.05228310069486897
cell4_01_17_03,10,20,79,59.0,down,562.932,-0.0377362360856604,0.008771497831069203
cell4_01_17_03,10,20,80,60.0,cell,684.879,-0.037624567082884475,684.879
cell4_01_17_03,10,20,80,60.0,up,478.231,0.017377692833972492,0.05701457739662413
cell4_01_17_03,10,20,80,60.0,down,561.882,-0.03953108333561266,-0.0020399217268840526
cell4_01_17_03,10,20,81,61.0,cell,685.083,-0.037337911208905214,685.083
cell4_01_17_03,10,20,81,61.0,up,483.883,0.02940162837955109,0.06918849217959963
cell4_01_17_03,10,20,81,61.0,down,560.755,-0.04145755271722787,-0.004338160008957017
cell4_01_17_03,10,20,82,62.0,cell,660.734,-0.07155253804970305,660.734
cell4_01_17_03,10,20,82,62.0,up,473.617,0.0075619747505861696,0.08506993264462073
cell4_01_17_03,10,20,82,62.0,down,555.281,-0.05081468971364509,0.022275745755277444
cell4_01_17_03,10,20,83,63.0,cell,673.22,-0.054007512351144475,673.22
cell4_01_17_03,10,20,83,63.0,up,471.551,0.003166813597513661,0.06030000321173846
cell4_01_17_03,10,20,83,63.0,down,557.982,-0.04619765883543484,0.008196251608591831
cell4_01_17_03,10,20,84,64.0,cell,696.099,-0.021858494014021127,696.099
cell4_01_17_03,10,20,84,64.0,up,485.433,0.032699062932921054,0.055638907976256084
cell4_01_17_03,10,20,84,64.0,down,573.451,-0.019755285397806552,0.0020910960269826407
cell4_01_17_03,10,20,85,65.0,cell,683.609,-0.039409140415991084,683.609
cell4_01_17_03,10,20,85,65.0,up,480.729,0.022691880907726083,0.06450977079357807
cell4_01_17_03,10,20,85,65.0,down,562.264,-0.03887810081229663,0.0004938073059716593
cell4_01_17_03,10,20,86,66.0,cell,675.725,-0.050487546839780614,675.725
cell4_01_17_03,10,20,86,66.0,up,467.881,-0.004640660474013896,0.04814779381914246
cell4_01_17_03,10,20,86,66.0,down,558.332,-0.04559937641878409,0.0050887948309416425
cell4_01_17_03,10,20,87,67.0,cell,686.67,-0.03510789713044836,686.67
cell4_01_17_03,10,20,87,67.0,up,475.362,0.011274247844541363,0.04793293509803723
cell4_01_17_03,10,20,87,67.0,down,566.95,-0.030867953942510174,0.0043349695464424375
cell4_01_17_03,10,20,88,68.0,cell,684.136,-0.038668612741544574,684.136
cell4_01_17_03,10,20,88,68.0,up,461.642,-0.017913366395610635,0.021456724490506326
cell4_01_17_03,10,20,88,68.0,down,565.588,-0.033196127232448226,0.005633289003467019
cell4_01_17_03,10,20,89,69.0,cell,682.351,-0.04117685163886369,682.351
cell4_01_17_03,10,20,89,69.0,up,472.929,0.006098339284316063,0.049168433565112565
cell4_01_17_03,10,20,89,69.0,down,563.196,-0.037284960205672416,0.00399980397577492
cell4_01_17_03,10,20,90,70.0,cell,665.098,-0.06542035062790998,665.098
cell4_01_17_03,10,20,90,70.0,up,474.63,0.009717007784498213,0.08025589616500417
cell4_01_17_03,10,20,90,70.0,down,559.642,-0.04336009080217704,0.023544094284935507
cell4_01_17_03,10,20,91,71.0,cell,687.117,-0.03447978352422893,687.117
cell4_01_17_03,10,20,91,71.0,up,478.842,0.01867752026113959,0.05491785864213074
cell4_01_17_03,10,20,91,71.0,down,563.497,-0.036770437327352926,-0.0024313017014752055
cell4_01_17_03,10,20,92,72.0,cell,675.55,-0.05073345261402769,675.55
cell4_01_17_03,10,20,92,72.0,up,472.54,0.00527078958027687,0.05885911785554633
cell4_01_17_03,10,20,92,72.0,down,555.11,-0.05110699340863718,-0.0004524675186983591
cell4_01_17_03,10,20,93,73.0,cell,684.518,-0.03813183556575966,684.518
cell4_01_17_03,10,20,93,73.0,up,467.024,-0.006463822675457727,0.03278858324940448
cell4_01_17_03,10,20,93,73.0,down,561.611,-0.03999432486393356,-0.0019951967916485166
cell4_01_17_03,10,20,94,74.0,cell,688.679,-0.03228489884209305,688.679
cell4_01_17_03,10,20,94,74.0,up,461.717,-0.017753813110770178,0.014883348680794878
cell4_01_17_03,10,20,94,74.0,down,561.662,-0.03990714656893581,-0.007935062537988025
cell4_01_17_03,10,20,95,75.0,cell,679.038,-0.04583219923932215,679.038
cell4_01_17_03,10,20,95,75.0,up,468.706,-0.0028855743407685116,0.04487307072591893
cell4_01_17_03,10,20,95,75.0,down,560.253,-0.04231566064053824,0.0036262474431054213
cell4_01_17_03,10,20,96,76.0,cell,681.046,-0.043010606126819645,681.046
cell4_01_17_03,10,20,96,76.0,up,479.415,0.019896507357320938,0.06559524453590684
cell4_01_17_03,10,20,96,76.0,down,558.549,-0.04522844132046067,-0.002376362210125157
cell4_01_17_03,10,20,97,77.0,cell,690.857,-0.02922442583460782,690.857
cell4_01_17_03,10,20,97,77.0,up,478.585,0.01813078433841953,0.04864386969765742
cell4_01_17_03,10,20,97,77.0,down,567.277,-0.03030898722752508,-0.0011761314365100074
cell4_01_17_03,10,20,98,78.0,cell,675.041,-0.05144868712312304,675.041
cell4_01_17_03,10,20,98,78.0,up,467.634,-0.0051661226254217886,0.048655961922653757
cell4_01_17_03,10,20,98,78.0,down,561.489,-0.0402028690205946,0.011796097137119462
cell4_01_17_03,10,20,99,79.0,cell,670.451,-0.05789844428765808,670.451
cell4_01_17_03,10,20,99,79.0,up,461.585,-0.018034626892089435,0.04217762868689538
cell4_01_17_03,10,20,99,79.0,down,558.346,-0.045575445122118044,0.013020572274940514
cell4_01_17_03,10,20,100,80.0,cell,664.865,-0.06574775660162159,664.865
cell4_01_17_03,10,20,100,80.0,up,479.261,0.019568891279115156,0.09117829909668962
cell4_01_17_03,10,20,100,80.0,down,560.788,-0.04140114323222935,0.025999476636257842
cell4_01_17_03,10,20,101,81.0,cell,691.834,-0.0278515690263833,691.834
cell4_01_17_03,10,20,101,81.0,up,470.356,0.0006245979257220159,0.029157608099456583
cell4_01_17_03,10,20,101,81.0,down,563.374,-0.036980690862347204,-0.009449098803495757
cell4_01_17_03,10,20,102,82.0,cell,691.96,-0.02767451686892535,691.96
cell4_01_17_03,10,20,102,82.0,up,488.172,0.038525948895295474,0.06794522454704041
cell4_01_17_03,10,20,102,82.0,down,568.838,-0.02764064764926304,-2.415492888771919e-05
cell4_01_17_03,10,20,103,83.0,cell,669.34,-0.05945959466016316,669.34
cell4_01_17_03,10,20,103,83.0,up,468.648,-0.003008962214378468,0.05988096050443608
cell4_01_17_03,10,20,103,83.0,down,554.92,-0.051431775291961954,0.008475836865576573
cell4_01_17_03,10,20,104,84.0,cell,682.843,-0.040485505119266525,682.843
cell4_01_17_03,10,20,104,84.0,up,466.379,-0.007835980925085823,0.033892124625747956
cell4_01_17_03,10,20,104,84.0,down,558.221,-0.045789117413779015,-0.0055860515797003865
cell4_01_17_03,10,20,105,85.0,cell,678.615,-0.04642658862507342,678.615
cell4_01_17_03,10,20,105,85.0,up,463.628,-0.013688395413034727,0.03419707132674151
cell4_01_17_03,10,20,105,85.0,down,561.444,-0.04027979104559267,0.00638670014061967
cell4_01_17_03,10,20,106,86.0,cell,677.466,-0.04804113567998643,677.466
