id,name,group,treat,cell_num,cell_area,dot_num,dot_area,dot_rel_area,dot_sum_int,dot_mean_int,dot_men_int_per_dot,dot_mean_int_dens
5,CONT_GFAP_GLT1_2_target,cont,non,6,1610,20,499,"0,31",261483,524,13074,417
6,CONT_GFAP_GLT1_2_target,cont,non,7,651,11,216,"0,332",94407,437,8582,478
7,CONT_GFAP_GLT1_2_target,cont,non,8,3067,33,1014,"0,331",380389,375,11526,347
8,CONT_GFAP_GLT1_2_target,cont,non,9,1667,23,423,"0,254",143871,340,6255,305
9,CONT_GFAP_GLT1_2_target,cont,non,10,1391,12,438,"0,315",225205,514,18767,376
10,CONT_GFAP_GLT1_2_target,cont,non,11,1805,16,538,"0,298",170956,317,10684,290
11,CONT_GFAP_GLT1_2_target,cont,non,12,1828,22,532,"0,291",308738,580,14033,448
12,CONT_GFAP_GLT1_2_target,cont,non,13,1277,14,303,"0,237",109011,359,7786,346
13,CONT_GFAP_GLT1_2_target,cont,non,14,2369,28,419,"0,177",246745,588,8812,638
14,CONT_GFAP_GLT1_2_target,cont,non,15,2206,30,615,"0,279",229053,372,7635,325
15,CONT_GFAP_GLT1_2_target,cont,non,16,1694,20,571,"0,337",316685,554,15834,439
16,CONT_GFAP_GLT1_2_target,cont,non,17,809,7,196,"0,242",112670,574,16095,495
17,CONT_GFAP_GLT1_2_target,cont,non,18,2735,29,801,"0,293",297022,370,10242,298
18,CONT_GFAP_GLT1_2_target,cont,non,19,3005,43,843,"0,281",467718,554,10877,549
19,CONT_GFAP_GLT1_2_target,cont,non,20,957,13,291,"0,304",111030,381,8540,293
20,CONT_GFAP_GLT1_2_target,cont,non,21,2076,24,714,"0,344",311103,435,12962,352
21,CONT_GFAP_GLT1_2_target,cont,non,22,508,8,147,"0,289",46480,316,5810,286
22,CONT_GFAP_GLT1_2_target,cont,non,23,583,10,178,"0,305",70698,397,7069,306
23,CONT_GFAP_GLT1_2_target,cont,non,24,1275,10,345,"0,271",320521,929,32052,1271
24,CONT_GFAP_GLT1_2_target,cont,non,25,582,9,144,"0,247",42020,291,4668,280
25,CONT_GFAP_GLT1_2_target,cont,non,26,935,9,194,"0,207",67272,346,7474,329
26,CONT_GFAP_GLT1_2_target,cont,non,27,3684,39,1224,"0,332",459044,375,11770,348
27,CONT_GFAP_GLT1_2_target,cont,non,28,949,13,236,"0,249",76609,324,5893,319
28,CONT_GFAP_GLT1_2_target,cont,non,29,752,11,166,"0,221",102944,620,9358,701
29,CONT_GFAP_GLT1_2_target,cont,non,30,610,8,260,"0,426",100827,387,12603,351
30,CONT_GFAP_GLT1_2_target,cont,non,31,1475,17,302,"0,205",108295,358,6370,316
31,CONT_GFAP_GLT1_2_target,cont,non,32,2158,25,661,"0,306",313614,474,12544,400
32,CONT_GFAP_GLT1_2_target,cont,non,33,6018,76,1678,"0,279",836508,498,11006,456
33,CONT_GFAP_GLT1_2_target,cont,non,34,2656,33,743,"0,28",406170,546,12308,498
34,CONT_GFAP_GLT1_2_target,cont,non,35,1966,17,224,"0,114",205294,916,12076,973
35,CONT_GFAP_GLT1_2_target,cont,non,36,5524,50,951,"0,172",517706,544,10354,611
36,CONT_GFAP_GLT1_2_target,cont,non,37,3175,40,932,"0,294",374575,401,9364,378
37,CONT_GFAP_GLT1_2_target,cont,non,38,638,7,138,"0,216",28941,209,4134,212
38,CONT_GFAP_GLT1_2_target,cont,non,39,1765,26,531,"0,301",205800,387,7915,326
39,CONT_GFAP_GLT1_2_target,cont,non,40,2826,36,635,"0,225",470474,740,13068,678
40,CONT_GFAP_GLT1_2_target,cont,non,41,1475,15,313,"0,212",97341,310,6489,280
41,CONT_GFAP_GLT1_2_target,cont,non,42,1369,11,257,"0,188",278381,1083,25307,1116
42,CONT_GFAP_GLT1_2_target,cont,non,43,2001,19,425,"0,212",482910,1136,25416,1117
43,CONT_GFAP_GLT1_2_target,cont,non,44,558,9,180,"0,323",71135,395,7903,349
44,CONT_GFAP_GLT1_2_target,cont,non,45,809,22,199,"0,246",78810,396,3582,368
45,CONT_GFAP_GLT1_2_target,cont,non,46,1321,20,287,"0,217",154789,539,7739,539
46,CONT_GFAP_GLT1_2_target,cont,non,47,1467,19,470,"0,32",166075,353,8740,339
47,CONT_GFAP_GLT1_2_target,cont,non,48,1174,19,420,"0,358",234119,557,12322,500
48,CONT_GFAP_GLT1_2_target,cont,non,49,1502,14,210,"0,14",203261,967,14518,1456
49,CONT_GFAP_GLT1_2_target,cont,non,50,1768,26,562,"0,318",186737,332,7182,286
50,CONT_GFAP_GLT1_2_target,cont,non,51,921,14,172,"0,187",93386,542,6670,497
51,CONT_GFAP_GLT1_2_target,cont,non,52,3036,26,330,"0,109",433541,1313,16674,963
52,CONT_GFAP_GLT1_2_target,cont,non,53,2831,32,999,"0,353",519180,519,16224,484
53,CONT_GFAP_GLT1_2_target,cont,non,54,580,5,34,"0,059",66169,1946,13233,805
54,CONT_GFAP_GLT1_2_target,cont,non,55,2806,30,796,"0,284",142312,178,4743,153
55,CONT_GFAP_GLT1_2_target,cont,non,56,648,8,163,"0,252",39953,245,4994,219
56,CONT_GFAP_GLT1_2_target,cont,non,57,575,7,244,"0,424",57536,235,8219,232
57,CONT_GFAP_GLT1_2_target,cont,non,58,710,6,176,"0,248",51844,294,8640,241
58,CONT_GFAP_GLT1_2_target,cont,non,59,3162,43,869,"0,275",270419,311,6288,289
59,CONT_GFAP_GLT1_2_target,cont,non,60,1072,16,274,"0,256",97000,354,6062,330
60,CONT_GFAP_GLT1_2_target,cont,non,61,597,9,207,"0,347",68048,328,7560,322
61,CONT_GFAP_GLT1_2_target,cont,non,62,857,12,245,"0,286",73933,301,6161,307
62,CONT_GFAP_GLT1_2_target,cont,non,63,739,21,191,"0,258",57844,302,2754,283
63,CONT_GFAP_GLT1_2_target,cont,non,64,532,17,91,"0,171",27886,306,1640,298
64,CONT_GFAP_GLT1_2_target,cont,non,65,580,6,136,"0,234",58445,429,9740,394
