"","cell","stimul","frame","time","mask","int","delta"
"203","cell7_01",10,68,11.6,"up",1639.968,0.135867188492388
"204","cell7_01",10,68,11.6,"down",1449.956,-0.132098393579105
"205","cell7_01",10,69,11.8,"cell",1022.524,-0.0636334291045204
"206","cell7_01",10,69,11.8,"up",1648.957,0.142093108850199
"207","cell7_01",10,69,11.8,"down",1467.521,-0.121584494042303
"208","cell7_01",10,70,12,"cell",1020.722,-0.0652835933654606
"209","cell7_01",10,70,12,"up",1645.004,0.139355199942153
"210","cell7_01",10,70,12,"down",1460.034,-0.126065995085971
"211","cell7_01",10,71,12.2,"cell",1018.351,-0.0674548139329907
"212","cell7_01",10,71,12.2,"up",1618.074,0.120703065640691
"213","cell7_01",10,71,12.2,"down",1452.847,-0.130367924830975
"214","cell7_01",10,72,12.4,"cell",1020.789,-0.0652222387564245
"215","cell7_01",10,72,12.4,"up",1635.489,0.132764963853092
"216","cell7_01",10,72,12.4,"down",1457.429,-0.127625272529374
"217","cell7_01",10,73,12.6,"cell",1022.694,-0.0634777532308468
"218","cell7_01",10,73,12.6,"up",1632.947,0.131004335357202
"219","cell7_01",10,73,12.6,"down",1461.952,-0.12491793591651
"220","cell7_01",10,74,12.8,"cell",1019.687,-0.0662313847140028
"221","cell7_01",10,74,12.8,"up",1599.613,0.107916691658541
"222","cell7_01",10,74,12.8,"down",1464.01,-0.123686076807672
"223","cell7_01",10,75,13,"cell",1019.97,-0.0659722301713579
"224","cell7_01",10,75,13,"up",1614,0.117881350262148
"225","cell7_01",10,75,13,"down",1464.798,-0.12321440286318
"226","cell7_01",10,76,13.2,"cell",1020.837,-0.0651782832156226
"227","cell7_01",10,76,13.2,"up",1612.27,0.116683125518682
"228","cell7_01",10,76,13.2,"down",1464.692,-0.123277851388709
"229","cell7_01",10,77,13.4,"cell",1021.442,-0.0646242602534312
"230","cell7_01",10,77,13.4,"up",1600.894,0.108803932061072
"231","cell7_01",10,77,13.4,"down",1469.881,-0.12017186649281
"232","cell7_01",10,78,13.6,"cell",1019.058,-0.0668073854465952
"233","cell7_01",10,78,13.6,"up",1584.284,0.0972995892928852
"234","cell7_01",10,78,13.6,"down",1459.823,-0.126192293566032
"235","cell7_01",10,79,13.8,"cell",1021.66,-0.0644246288389557
"236","cell7_01",10,79,13.8,"up",1580.16,0.0944432431414099
"237","cell7_01",10,79,13.8,"down",1471.78,-0.119035180172264
"238","cell7_01",10,80,14,"cell",1016.873,-0.0688082782935177
"239","cell7_01",10,80,14,"up",1589.688,0.101042483231433
"240","cell7_01",10,80,14,"down",1464.933,-0.123133595778781
"241","cell7_01",10,81,14.2,"cell",1021.65,-0.0644337862432894
"242","cell7_01",10,81,14.2,"up",1601.394,0.109150239790398
"243","cell7_01",10,81,14.2,"down",1471.072,-0.119458968437112
"244","cell7_01",10,82,14.4,"cell",1021.388,-0.0646737102368334
"245","cell7_01",10,82,14.4,"up",1571.862,0.0886959200655269
"246","cell7_01",10,82,14.4,"down",1478.952,-0.114742228992193
"247","cell7_01",10,83,14.6,"cell",1014.716,-0.0707835304083058
"248","cell7_01",10,83,14.6,"up",1568.032,0.0860432028588948
"249","cell7_01",10,83,14.6,"down",1463.418,-0.124040430837037
"250","cell7_01",10,84,14.8,"cell",1017.609,-0.0681342933345543
"251","cell7_01",10,84,14.8,"up",1561.745,0.0816887294703581
"252","cell7_01",10,84,14.8,"down",1459.3,-0.126505346196704
"253","cell7_01",10,85,15,"cell",1020.043,-0.0659053811197216
"254","cell7_01",10,85,15,"up",1585.149,0.0978987016646179
"255","cell7_01",10,85,15,"down",1473.025,-0.118289959282806
"256","cell7_01",10,86,15.2,"cell",1020.588,-0.0654063025835328
"257","cell7_01",10,86,15.2,"up",1563.099,0.0826265308013711
"258","cell7_01",10,86,15.2,"down",1465.868,-0.122573931897944
"259","cell7_01",10,87,15.4,"cell",1018.565,-0.0672588454802486
"260","cell7_01",10,87,15.4,"up",1591.564,0.102341829831862
"261","cell7_01",10,87,15.4,"down",1471.761,-0.119046553021179
"262","cell7_01",10,88,15.6,"cell",1017.463,-0.068267991437827
"263","cell7_01",10,88,15.6,"up",1538.337,0.0654759868142638
"264","cell7_01",10,88,15.6,"down",1471.122,-0.119429039887334
"265","cell7_01",10,89,15.8,"cell",1018.431,-0.0673815546983208
"266","cell7_01",10,89,15.8,"up",1568.014,0.086030735780639
"267","cell7_01",10,89,15.8,"down",1473.355,-0.118092430854276
"268","cell7_01",10,90,16,"cell",1013.483,-0.0719126383626562
"269","cell7_01",10,90,16,"up",1559.638,0.0802293886989812
"270","cell7_01",10,90,16,"down",1468.224,-0.121163698632433
"271","cell7_01",10,91,16.2,"cell",1014.601,-0.0708888405581438
"272","cell7_01",10,91,16.2,"up",1526.128,0.057019844679598
"273","cell7_01",10,91,16.2,"down",1468.959,-0.120723748950705
"274","cell7_01",10,92,16.4,"cell",1013.701,-0.0717130069481806
"275","cell7_01",10,92,16.4,"up",1551.55,0.0746275148694148
"276","cell7_01",10,92,16.4,"down",1468.973,-0.120715368956767
"277","cell7_01",10,93,16.6,"cell",1016.152,-0.0694685271459805
"278","cell7_01",10,93,16.6,"up",1574.521,0.0905375845700788
"279","cell7_01",10,93,16.6,"down",1472.073,-0.118859798870568
"280","cell7_01",10,94,16.8,"cell",1015.65,-0.0699282288435344
"281","cell7_01",10,94,16.8,"up",1544.27,0.0695852743304381
"282","cell7_01",10,94,16.8,"down",1478.555,-0.114979861677426
"283","cell7_01",10,95,17,"cell",1012.877,-0.0724675770652809
"284","cell7_01",10,95,17,"up",1552.723,0.075439952802412
"285","cell7_01",10,95,17,"down",1470.865,-0.11958287263319
"286","cell7_01",10,96,17.2,"cell",1014.863,-0.0706489165645997
"287","cell7_01",10,96,17.2,"up",1527.961,0.0582894088153047
"288","cell7_01",10,96,17.2,"down",1479.265,-0.114554876270586
"289","cell7_01",10,97,17.4,"cell",1017.28,-0.0684355719371345
"290","cell7_01",10,97,17.4,"up",1527.121,0.0577076118300382
"291","cell7_01",10,97,17.4,"down",1478.513,-0.115005001659239
"292","cell7_01",10,98,17.6,"cell",1015.06,-0.0704685156992251
"293","cell7_01",10,98,17.6,"up",1541.56,0.0677082864374948
"294","cell7_01",10,98,17.6,"down",1474.073,-0.117662656879472
"295","cell7_01",10,99,17.8,"cell",1015.135,-0.070399835166722
"296","cell7_01",10,99,17.8,"up",1523.518,0.0552121183325198
"297","cell7_01",10,99,17.8,"down",1478.397,-0.115074435894722
"298","cell7_01",10,100,18,"cell",1013.837,-0.0715884662492417
"299","cell7_01",10,100,18,"up",1540.39,0.0668979263508736
"300","cell7_01",10,100,18,"down",1474.576,-0.117361575668711
"301","cell11_01",20,1,-19,"cell",359.972,0.00135610853875483
"302","cell11_01",20,1,-19,"up",183.074,0.0453301479829
"303","cell11_01",20,1,-19,"down",410.708,-0.0040424371021521
"304","cell11_01",20,2,-18,"cell",358.624,-0.00239370543097114
"305","cell11_01",20,2,-18,"up",175.043,-0.000525879735130287
"306","cell11_01",20,2,-18,"down",411.107,-0.00307487117308269
"307","cell11_01",20,3,-17,"cell",359.501,4.58990582347994e-05
"308","cell11_01",20,3,-17,"up",188.395,0.0757124071645261
"309","cell11_01",20,3,-17,"down",410.252,-0.00514822673537433
"310","cell11_01",20,4,-16,"cell",359.664,0.000499326118372332
"311","cell11_01",20,4,-16,"up",173.903,-0.0070351403002598
"312","cell11_01",20,4,-16,"down",412.136,-0.000579569566535255
"313","cell11_01",20,5,-15,"cell",359.803,0.000885990911986549
"314","cell11_01",20,5,-15,"up",169.922,-0.0297661633790144
"315","cell11_01",20,5,-15,"down",415.48,0.00752955441042745
"316","cell11_01",20,6,-14,"cell",358.047,-0.00399878158863579
"317","cell11_01",20,6,-14,"up",171.457,-0.0210015011268445
"318","cell11_01",20,6,-14,"down",411.426,-0.00230130342528042
"319","cell11_01",20,7,-13,"cell",361.609,0.00590985146786582
"320","cell11_01",20,7,-13,"up",181.213,0.0347040656042105
"321","cell11_01",20,7,-13,"down",414.078,0.00412973628372228
"322","cell11_01",20,8,-12,"cell",358.646,-0.00233250668665813
"323","cell11_01",20,8,-12,"up",163.744,-0.065041787739865
"324","cell11_01",20,8,-12,"down",411.904,-0.00114216429220977
"325","cell11_01",20,9,-11,"cell",359.654,0.000471508507320977
"326","cell11_01",20,9,-11,"up",165.612,-0.0543757362173546
"327","cell11_01",20,9,-11,"down",413.878,0.00364474083055468
"328","cell11_01",20,10,-10,"cell",359.325,-0.000443690896269464
"329","cell11_01",20,10,-10,"up",178.988,0.0219995877468307
"330","cell11_01",20,10,-10,"down",412.781,0.000984540769930296
"331","cell11_01",20,11,-9,"cell",356.284,-0.00890302641699427
"332","cell11_01",20,11,-9,"up",170.682,-0.0254266563355948
"333","cell11_01",20,11,-9,"down",409.058,-0.0080436495907851
"334","cell11_01",20,12,-8,"cell",355.592,-0.0108280051017498
"335","cell11_01",20,12,-8,"up",165.368,-0.0557689463733999
"336","cell11_01",20,12,-8,"down",409.844,-0.00613761745983633
"337","cell11_01",20,13,-7,"cell",359.218,-0.000741339334519154
