cell,power,stimul,frame,time,mask,int,delta,rel
cell2_01_27_01,20,20,78,58.0,down,182.231,-0.022290348610622367,0.7987262877379993
cell2_01_27_01,20,20,79,59.0,cell,228.528,0.03474927949975887,228.528
cell2_01_27_01,20,20,79,59.0,up,185.88,0.07760894645000087,0.8133795421130015
cell2_01_27_01,20,20,79,59.0,down,182.461,-0.02105634770068073,0.7984185745291607
cell2_01_27_01,20,20,80,60.0,cell,229.038,0.037058502582028426,229.038
cell2_01_27_01,20,20,80,60.0,up,185.638,0.07620599096774948,0.810511792802941
cell2_01_27_01,20,20,80,60.0,down,184.626,-0.009440643483187574,0.8060933120268252
cell2_01_27_01,20,20,81,61.0,cell,229.622,0.03970278940564681,229.622
cell2_01_27_01,20,20,81,61.0,up,190.918,0.10681592876232665,0.8314447221956084
cell2_01_27_01,20,20,81,61.0,down,186.404,9.872007279524565e-05,0.8117863270940937
cell2_01_27_01,20,20,82,62.0,cell,232.013,0.05052897056193363,232.013
cell2_01_27_01,20,20,82,62.0,up,191.808,0.11197555842845795,0.8267122962937421
cell2_01_27_01,20,20,82,62.0,down,184.274,-0.01132920139753291,0.794239977932271
cell2_01_27_01,20,20,83,63.0,cell,234.404,0.061355151718220445,234.404
cell2_01_27_01,20,20,83,63.0,up,191.531,0.11036969616158343,0.8170978310950325
cell2_01_27_01,20,20,83,63.0,down,189.573,0.017101106523250705,0.8087447313185783
cell2_01_27_01,20,20,84,64.0,cell,226.983,0.027753691927001417,226.983
cell2_01_27_01,20,20,84,64.0,up,190.128,0.102236032766547,0.8376310120141155
cell2_01_27_01,20,20,84,64.0,down,177.517,-0.04758200204307637,0.7820717851116603
cell2_01_27_01,20,20,85,65.0,cell,223.232,0.010769582551329286,223.232
cell2_01_27_01,20,20,85,65.0,up,185.692,0.07651904714973948,0.8318341456422018
cell2_01_27_01,20,20,85,65.0,down,173.247,-0.07049149719720835,0.7760849698967891
cell2_01_27_01,20,20,86,66.0,cell,227.218,0.02881774570020395,227.218
cell2_01_27_01,20,20,86,66.0,up,192.088,0.11359881270544311,0.8453907700974395
cell2_01_27_01,20,20,86,66.0,down,180.873,-0.029576319200625048,0.7960328847186402
cell2_01_27_01,20,20,87,67.0,cell,228.969,0.03674607828266248,228.969
cell2_01_27_01,20,20,87,67.0,up,192.931,0.11848596754650924,0.8426075145543721
cell2_01_27_01,20,20,87,67.0,down,182.019,-0.023427775536307552,0.7949504081338522
cell2_01_27_01,20,20,88,68.0,cell,220.432,-0.0019085049591698066,220.432
cell2_01_27_01,20,20,88,68.0,up,179.739,0.04200750175369441,0.8153943166146477
cell2_01_27_01,20,20,88,68.0,down,175.094,-0.06058193336824313,0.7943220585033026
cell2_01_27_01,20,20,89,69.0,cell,230.303,0.042786281403735964,230.303
